,TEAM,TIME,ATHLETES,MEET,MEET DATE,EVENT,GENDER
1,Florida,3:01.00,"Fasasi, Holloway, Sawyers, Vedel",Florida Relays,2018-03-29,4x400,M
2,Texas A&M,3:01.17,"Rose, Deadmon, Izu, Dixon",SEC Outdoor Track and Field Championships,2018-05-11,4x400,M
3,Houston,3:01.82,"Lattin, Burke, Burrell, Montgomery",Penn Relays,2018-04-26,4x400,M
4,LSU,3:01.98,"Thompson, Flournoy, Howell, Mosby",SEC Outdoor Track and Field Championships,2018-05-11,4x400,M
5,Texas A&M (B),3:02.19,"Kerley, Johnson, Izu, Dixon",Michael Johnson Invitational,2018-04-21,4x400,M
6,Texas A&M (C),3:02.43,"Kerley, Deadmon, Dixon, Izu",Rafer Johnson & Jackie Joyner-Kersee Invitational,2018-04-14,4x400,M
7,Texas A&M (D),3:02.74,"Deadmon, Johnson, Izu, Dixon",Home Depot Clyde Littlefield Texas Relays,2018-03-28,4x400,M
8,Texas Tech,3:02.82,"Oduduru, Jones, Hooper, Crisp",Michael Johnson Invitational,2018-04-21,4x400,M
9,Arkansas,3:03.36,"Stephen, Mowatt, Ejiakuekwu, Igbokwe",National Relay Championships,2018-04-27,4x400,M
10,Baylor,3:03.44,"Baldridge, Fields III, Dickson, London",National Relay Championships,2018-04-27,4x400,M
11,Auburn,3:03.52,"Coakley, Bloomfield, Tenkiang, Allen",Penn Relays,2018-04-26,4x400,M
12,TCU,3:03.74,"Flowers, Ogwo, Andrews, Mokaleng",National Relay Championships,2018-04-27,4x400,M
13,TCU (B),3:03.79,"Flowers, Mokaleng, Ogwo, McClanahan",Big 12 Conference Outdoor Track and Field Championships,2018-05-11,4x400,M
14,Iowa,3:04.38,"Hofacker, Woodard, Frye, Harris",Florida Relays,2018-03-29,4x400,M
15,Arkansas (B),3:04.45,"Mowatt, Ejiakuekwu, Woodhall, Igbokwe",SEC Outdoor Track and Field Championships,2018-05-11,4x400,M
16,TCU (C),3:04.54,"Andrews, Flowers, Mokaleng, McClanahan",Roadrunner Invitational,2018-03-22,4x400,M
16,Texas A&M (E),3:04.54,"Deadmon, Rose, Zamzow, Johnson",Roadrunner Invitational,2018-03-22,4x400,M
18,Miss State,3:04.61,"Castillo, Waters, Tatham, James",Penn Relays,2018-04-26,4x400,M
19,Rutgers,3:04.67,"Griffith, Madeus, Brown, Burgess",Penn Relays,2018-04-26,4x400,M
20,N. Carolina A&T,3:04.75,"Hamilton, Stewart, Harding, Dickson",MEAC Outdoor Track & Field Championships,2018-05-03,4x400,M
20,Tennessee,3:04.75,"Williams, Harris, Elion, Strother",SEC Outdoor Track and Field Championships,2018-05-11,4x400,M
22,Iowa (B),3:05.05,"Frye, Hofacker, Thompson, Harris",2018 Drake Relays presented by Hy-Vee,2018-04-25,4x400,M
23,Clemson,3:05.11,"Lamb, Tolbert, Lewis, Green",Home Depot Clyde Littlefield Texas Relays,2018-03-28,4x400,M
24,Penn State,3:05.13,"Miner, Smith, Reiser, Harris",Penn Relays,2018-04-26,4x400,M
25,Florida (B),3:05.22,"Vedel, Sawyers, Poole, Johnson",FSU Relays,2018-03-23,4x400,M
26,Texas Tech (B),3:05.28,"Grimes, Crisp, Mathis, Jones",Big 12 Conference Outdoor Track and Field Championships,2018-05-11,4x400,M
27,Texas A&M (F),3:05.32,"Rose, Tucker, Dixon, Johnson",LSU Invitational,2018-04-28,4x400,M
28,Baylor (B),3:05.41,"Willis, Fields III, Dickson, Musgrove",Big 12 Conference Outdoor Track and Field Championships,2018-05-11,4x400,M
29,Kansas,3:05.65,"Henry, Cole, Hoppel, Daniels",Big 12 Conference Outdoor Track and Field Championships,2018-05-11,4x400,M
30,Stanford,3:05.76,"Kurtz, Brandt-Sims, Navarro, Body",National Relay Championships,2018-04-27,4x400,M
31,Minnesota,3:05.78,"Webb, Baker, Psicihulis, Wellenstein",39th Sun Angel Classic,2018-04-05,4x400,M
32,Western Kentucky,3:06.15,"Alexandre, Minor, Villaman, Gates",2018 Conference USA Outdoor Track & Field Championships,2018-05-10,4x400,M
33,Miss State (B),3:06.38,"Brockman, III, Tatham, James, Waters",Tennessee Relays,2018-04-12,4x400,M
34,Texas Tech (C),3:06.41,"Hudson, Jones, Crisp, Grimes",39th Sun Angel Classic,2018-04-05,4x400,M
35,Bethune-Cookman,3:06.51,"Williams, Moore, Jackson, Okwaraji",MEAC Outdoor Track & Field Championships,2018-05-03,4x400,M
36,UTSA,3:06.69,"Crocker, Jefferson, Taylor, Sheriff",2018 Conference USA Outdoor Track & Field Championships,2018-05-10,4x400,M
37,Ohio State,3:06.72,"Bramwell, Cooper, Burke, Jeff",UCF Black and Gold Challenge,2018-03-16,4x400,M
38,Ohio State (B),3:06.78,"Burke, McKinney, Jeff, Bramwell",2018 Drake Relays presented by Hy-Vee,2018-04-25,4x400,M
39,USC,3:06.86,"Morgan Jr, Norman, Ford, Benjamin",UCLA vs. USC Dual,2018-04-29,4x400,M
40,Charlotte,3:06.87,"Menzel, Dula, Sweezer, Woodard",2018 Conference USA Outdoor Track & Field Championships,2018-05-10,4x400,M
41,Oregon,3:06.90,"Harvey, Emilien, Stone, Ng",Mt. SAC Relays,2018-04-19,4x400,M
42,Nebraska,3:06.94,"Neal, Lucy, Mohammed, Bransby",Kansas Relays,2018-04-18,4x400,M
43,Clemson (B),3:06.95,"Lamb, Gordon, Lewis, Green",Penn Relays,2018-04-26,4x400,M
44,Kansas (B),3:06.97,"Henry, Hartley, Cole, Hoppel",Kansas Relays,2018-04-18,4x400,M
45,Miss State (C),3:07.01,,Florida Relays,2018-03-29,4x400,M
45,Florida (C),3:07.01,"Fasasi, Holloway, Clark, Hill",FSU Relays,2018-03-23,4x400,M
47,North Carolina,3:07.03,"Johnson, Palmer, Cachon, Selmon",Virginia Grand Prix,2018-04-28,4x400,M
48,Western Kentucky (B),3:07.10,"Morris, Minor, Alexandre, Gates",Florida Relays,2018-03-29,4x400,M
49,Iowa State,3:07.32,"Berry, Fogltanz, Roomes, Dennison",Big 12 Conference Outdoor Track and Field Championships,2018-05-11,4x400,M
50,Air Force,3:07.33,"Walden, Dicken, White, Koss",Home Depot Clyde Littlefield Texas Relays,2018-03-28,4x400,M
51,UT-Arlington,3:07.34,"Mitchell, Martinsson, Wallace, Seastrunk",Home Depot Clyde Littlefield Texas Relays,2018-03-28,4x400,M
52,Arizona,3:07.37,"Williams, Egbo, Villarreal, Hing",2018 Desert Heat Classic,2018-04-28,4x400,M
52,Texas A&M (G),3:07.37,"Rose, Johnson, Ellison, Deadmon",2018 Baldy Castillo Invitational,2018-03-16,4x400,M
54,Eastern Michigan,3:07.38,"Johnson, Underwood, Richardson, Brown",Tennessee Relays,2018-04-12,4x400,M
55,Tennessee (B),3:07.40,"McConico, Strother, Harris, Williams",Tennessee Relays,2018-04-12,4x400,M
56,Iowa (C),3:07.45,"Hofacker, Harris, Woodard, Clarke",Mt. SAC Relays,2018-04-19,4x400,M
57,Arizona (B),3:07.46,"Washington, Egbo, Sincukovs, Williams",2018 Pac-12 Track & Field Championships,2018-05-12,4x400,M
58,Oregon (B),3:07.57,"Harvey, Emilien, Daniel, Stone",2018 Pac-12 Track & Field Championships,2018-05-12,4x400,M
58,Iowa State (B),3:07.57,,2018 Cardinal Classic,2018-04-20,4x400,M
60,LSU (B),3:07.61,"Thompson, Mosby, Howell, Hislop",Home Depot Clyde Littlefield Texas Relays,2018-03-28,4x400,M
61,Illinois,3:07.64,"Haight, Allen, Deloye, Kendziera",2018 Drake Relays presented by Hy-Vee,2018-04-25,4x400,M
62,North Carolina (B),3:07.66,"Cachon, Palmer, Nicholls, Selmon",ACC Outdoor Championships,2018-05-10,4x400,M
63,Auburn (B),3:07.72,"Burks, Bloomfield, Tenkiang, Allen",Penn Relays,2018-04-26,4x400,M
64,Abilene Christian,3:07.75,"Williams, Brownlow, Williams, Linton",Southland Conference Outdoor Track & Field Championships,2018-05-04,4x400,M
65,Houston (B),3:07.81,"Lattin, Montgomery, Laverty, Jordan",Home Depot Clyde Littlefield Texas Relays,2018-03-28,4x400,M
66,Texas A&M (H),3:07.96,"Rose, Tucker, Zamzow, Hart",Michael Johnson Invitational,2018-04-21,4x400,M
67,Oklahoma State,3:07.97,"Donyinah, Singleton, Jackson, Green",Big 12 Conference Outdoor Track and Field Championships,2018-05-11,4x400,M
68,Pittsburgh,3:07.99,"Watson, Michael-Khensu, Jones-Roundtree, Feagin",ACC Outdoor Championships,2018-05-10,4x400,M
69,Hampton,3:08.05,"Garrett, Powell, Beatty, Williams",Florida Relays,2018-03-29,4x400,M
70,Illinois State,3:08.16,"Montgomery, Gage, Lyons, Devonish",2018 MVC Outdoor Track & Field Championships,2018-05-11,4x400,M
71,Rutgers (B),3:08.17,"Aris, Brown, Madeus, Burgess",Penn Relays,2018-04-26,4x400,M
72,Liberty,3:08.19,"Zapata, Todd, Jacobs, Durham",Big South Conference Outdoor Track and Field Championships,2018-05-09,4x400,M
73,Virginia,3:08.34,"Willis, Shirley, Outlaw, Lint",Virginia Challenge,2018-04-20,4x400,M
74,Northern Iowa,3:08.35,"Van Den Bergh, Frost, Smith, Long",Musco Twilight,2018-04-12,4x400,M
75,Rutgers (C),3:08.36,"Griffith, Aris, Madeus, Brown",Virginia Challenge,2018-04-20,4x400,M
76,Ohio State (C),3:08.38,"Bramwell, Gray, Cooper, Jeff",Tennessee Relays,2018-04-12,4x400,M
77,Pittsburgh (B),3:08.43,"Watson, Jones-Roundtree, Brosier, Feagin",Penn Relays,2018-04-26,4x400,M
78,Clemson (C),3:08.46,"Tolbert, Gordon, Lewis, Lamb",ACC Outdoor Championships,2018-05-10,4x400,M
79,Memphis,3:08.51,"DeMoss, Champlin, Pasley, Gunnarsson",Home Depot Clyde Littlefield Texas Relays,2018-03-28,4x400,M
80,Harvard,3:08.57,"Agyare-May, Marshall, Williamson, Hurst",Home Depot Clyde Littlefield Texas Relays,2018-03-28,4x400,M
81,Houston (C),3:08.62,"Lattin, Jordan, Alcorn, Montgomery",Penn Relays,2018-04-26,4x400,M
82,Iowa (D),3:08.67,"Frye, Lietz, Thompson, Hofacker",2018 Drake Relays presented by Hy-Vee,2018-04-25,4x400,M
83,Mid. Tenn. State,3:08.74,"Adedamola, Umoh, Torian, Sanders",Penn Relays,2018-04-26,4x400,M
83,Western Kentucky (C),3:08.74,"Hayden, Saruni, Villaman, Seged",Mt. SAC Relays,2018-04-19,4x400,M
85,Texas A&M (I),3:08.75,"Zamzow, Rose, Hart, Hernandez",Rafer Johnson & Jackie Joyner-Kersee Invitational,2018-04-14,4x400,M
86,Northern Iowa (B),3:08.81,"Hertz, Van Den Bergh, Smith, Frost",2018 MVC Outdoor Track & Field Championships,2018-05-11,4x400,M
86,Washington,3:08.81,"Santana, Mafilas, Thomas, Croson",2018 Pac-12 Track & Field Championships,2018-05-12,4x400,M
88,Texas State,3:08.85,"Valentine, Porter, Green, Warren",Sun Belt Outdoor Track and Field Championships,2018-05-11,4x400,M
89,Clemson (D),3:08.92,"Lamb, Gordon, Gordon, Green",Penn Relays,2018-04-26,4x400,M
89,Penn State (B),3:08.92,"Miner, Ross, Smith, Harris",Virginia Challenge,2018-04-20,4x400,M
91,Illinois (B),3:09.00,"Haight, Harris, Allen, Kendziera",2018 Drake Relays presented by Hy-Vee,2018-04-25,4x400,M
92,Arizona (C),3:09.04,"Egbo, Sincukovs, Hing, Williams",2018 Jim Click Shootout,2018-04-07,4x400,M
93,New Mexico,3:09.05@,"Parmoon, Salcido, Haywood, Gonzales",Texas Tech Masked Rider Invite,2018-05-05,4x400,M
94,Western Carolina,3:09.06,"Dale, Kiedy, Washington-Saun, Lamont",Southern Conference Outdoor Track & Field Championships,2018-05-10,4x400,M
95,Georgia Tech,3:09.08,"Brooks, Bartlett, Jean, Pietsch",ACC Outdoor Championships,2018-05-10,4x400,M
96,George Mason,3:09.10,"Christian, Benson, Pierre, Gomez",A-10 Championships,2018-05-05,4x400,M
97,UTEP,3:09.12@,"Guevara, Koech, Saruni, Smith",Don Kirby Tailwind Open,2018-04-07,4x400,M
98,VCU,3:09.15,"Aguolu, Shepard, Thompson, Harrison",A-10 Championships,2018-05-05,4x400,M
99,Indiana,3:09.22,"Muncherji, Kuhn, Williams, Harris",Big Ten Championships,2018-05-11,4x400,M
99,Memphis (B),3:09.22,"Champlin, DeMoss, Pasley, Persinger",Mississippi State Bulldog Relays,2018-03-23,4x400,M
1,Florida (A),2:59.73,"Glass, Graham, Jr, Dukes, Hall",Florida Relays,2014-04-03,4x400,M
2,Texas A&M (M),3:01.19,"Taplin, Bailey Jr., Roudette, Lendore",SEC Outdoor Championship,2014-05-15,4x400,M
3,Texas A&M (H),3:02.64,"Coleman, Hardy, Jr., Roudette, Lendore",LSU Alumni Gold,2014-04-19,4x400,M
4,Texas A&M (F),3:02.67,"Coleman, Hart, Roudette, Lendore",35th Sun Angel Track Classic,2014-04-11,4x400,M
5,LSU (A),3:02.81,"Downing, Bush, Grayson, Norwood",2014 Clyde Littlefield Texas Relays,2014-03-26,4x400,M
6,Florida (F),3:03.04,"Glass, Graham Jr, Uruburu, Dukes",SEC Outdoor Championship,2014-05-15,4x400,M
7,Pittsburgh (C),3:03.44,"Murray, Nkanata, Palmer, Spratling",Penn Relays,2014-04-24,4x400,M
8,Arkansas (D),3:03.89,"Lawson, Southard, McLeod, Braddy",2014 Drake Relays presented by Hy-Vee,2014-04-23,4x400,M
9,Illinois (C),3:04.24,"Zahn, McAsey, Allen, Pamilton",2014 Drake Relays presented by Hy-Vee,2014-04-23,4x400,M
10,LSU (D),3:04.33,"Downing, Grayson, Dunkley, Norwood",SEC Outdoor Championship,2014-05-15,4x400,M
11,Nebraska (G),3:04.39,"Wiseman, Ukaoma, Bender, Gipson",2014 Drake Relays presented by Hy-Vee,2014-04-23,4x400,M
12,Texas A&M (J),3:05.06,"Coleman, Hickey, Roudette, Lendore",Penn Relays,2014-04-24,4x400,M
13,Texas (F),3:05.13,"Irvin, Whyte, Givans, Bilderback",Penn Relays,2014-04-24,4x400,M
14,Baylor (F),3:05.20,"Duke, Holmes, Moore, Heriot",2014 Drake Relays presented by Hy-Vee,2014-04-23,4x400,M
15,North Carolina (D),3:05.46,"Alowonle, Lipsey, Donyinah, Ways",Florida Relays,2014-04-03,4x400,M
16,Western Kentucky (D),3:05.52,"Chamness, Dasor, Sears, Bailey",Mt. SAC Relays,2014-04-17,4x400,M
17,Georgia (B),3:05.73,"Freeman, White, Branch, Evans",Florida Relays,2014-04-03,4x400,M
18,Nebraska (E),3:05.76,"Gipson, Wiseman, Bender, Rush",Big Ten Outdoor Track & Field Championships,2014-05-16,4x400,M
19,TCU (F),3:05.81,"Jackson, Listenbee, Chambers, Baker",2014 Drake Relays presented by Hy-Vee,2014-04-23,4x400,M
20,Baylor (H),3:05.86,"Duke, Holmes, Seale, Heriot",2014 Drake Relays presented by Hy-Vee,2014-04-23,4x400,M
21,Notre Dame (A),3:05.94,"Giesting, Buchanon, Smith, Feeney",2014 Drake Relays presented by Hy-Vee,2014-04-23,4x400,M
21,Pittsburgh (E),3:05.94,"Nkanata, Murray, Ross, Spratling",ACC Outdoor Track & Field Championships,2014-04-17,4x400,M
23,Georgia (D),3:06.03,"Freeman, Branch, Evans, Glover",SEC Outdoor Championship,2014-05-15,4x400,M
24,Arizona State (B),3:06.12,"Cleveland, Henry, Spann, Collins",Mt. SAC Relays,2014-04-17,4x400,M
24,Arizona State (D),3:06.12,"Cleveland, Henry, Collins, Moore",35th Sun Angel Track Classic,2014-04-11,4x400,M
26,Georgia (C),3:06.17,"Freeman, White, Calhoun, Branch",2014 Drake Relays presented by Hy-Vee,2014-04-23,4x400,M
27,Nebraska (F),3:06.24,"Wiseman, Sanderfer, Bender, Gipson",2014 Drake Relays presented by Hy-Vee,2014-04-23,4x400,M
28,Pittsburgh (D),3:06.38,"Fuller, Nkanata, Murray, Spratling",Florida Relays,2014-04-03,4x400,M
29,Oregon (E),3:06.51,"Chambers, Delaney, Galpin, Berry",Penn Relays,2014-04-24,4x400,M
30,Eastern Michigan (C),3:06.54,"Elam, Bolton, Waynes, Brown",2014 Drake Relays presented by Hy-Vee,2014-04-23,4x400,M
31,TCU (E),3:06.57,"McSwain, Jackson, Chambers, Baker",Florida Relays,2014-04-03,4x400,M
32,Stephen F. Austin (A),3:06.60,"Hawkins, Crowder, Taylor, Brown-Stewart",2014 Clyde Littlefield Texas Relays,2014-03-26,4x400,M
33,Baylor (J),3:06.68@,"Holmes, Seale, Caddick, Heriot",Big 12 Outdoor Track and Field Championships,2014-05-16,4x400,M
34,Florida State (B),3:06.76,"Cherry, Russell, Locke, Harris",ACC Outdoor Track & Field Championships,2014-04-17,4x400,M
35,Mid. Tenn. State (D),3:06.83,"Hamilton, Palmer, Rutto, Tugumisirize",Tennessee Relays,2014-04-10,4x400,M
36,Texas A&M (K),3:06.94,"Hart, Hardy, Jr., Roudette, Lendore",Penn Relays,2014-04-24,4x400,M
37,Texas A&M (E),3:07.02,"Coleman, Hardy, Jr., Hernandez, Roudette",Stanford Invitational,2014-04-04,4x400,M
38,LSU (E),3:07.08,"Downing, Henderson, Dunkley, Grayson",LSU Invitational,2014-05-03,4x400,M
39,Alabama (B),3:07.09,"Davis, Amankwah, Lahbi, Taylor",SEC Outdoor Championship,2014-05-15,4x400,M
40,Arkansas (C),3:07.12,"Janise, Southard, Lawson, Braddy",2014 Drake Relays presented by Hy-Vee,2014-04-23,4x400,M
41,Kansas (C),3:07.19,"Stigler, Johnson, McCuin, Wilson",35th Sun Angel Track Classic,2014-04-11,4x400,M
42,Oregon (F),3:07.21,"Chambers, Allen, Galpin, Berry",Pac-12 Outdoor Track and Field Championships,2014-05-17,4x400,M
43,Hampton (D),3:07.35,"Okezie, Hutchison, Reddick-Simmons, Ibadin",Florida Relays,2014-04-03,4x400,M
44,Ohio State (C),3:07.37,"Austin, Bruton, Walker, Rispress",Big Ten Outdoor Track & Field Championships,2014-05-16,4x400,M
45,Mid. Tenn. State (C),3:07.44,"Hamilton, Palmer, Tugumisirize, Cadet",Tiger Classic 2014,2014-04-04,4x400,M
46,Kansas State (A),3:07.46@,"Campbell, Rodriguez, Otuonye, Jefferson",Big 12 Outdoor Track and Field Championships,2014-05-16,4x400,M
47,UTEP (D),3:07.48,"Horn, Mitchell, Camacho, Onakoya",2014 Drake Relays presented by Hy-Vee,2014-04-23,4x400,M
48,Alabama (D),3:07.61,"Davis, Batson, Efkamp, Amankwah",Jace LaCoste Invitational,2014-05-02,4x400,M
49,Miss State (B),3:07.66,"Moona, Hearn, James, II, McBride",2014 Clyde Littlefield Texas Relays,2014-03-26,4x400,M
50,Purdue (J),3:07.78,"Peart, Kendrick, Ikpefan, Mostert",2014 Drake Relays presented by Hy-Vee,2014-04-23,4x400,M
51,UTSA (G),3:07.80,"Smith, Hayes, Shelvin, Hall",Conference USA Outdoor Track & Field Championships,2014-05-15,4x400,M
52,TCU (B),3:07.80,"Collins, Watts, Chambers, Baker",2014 Clyde Littlefield Texas Relays,2014-03-26,4x400,M
53,George Mason (M),3:07.91,"Coburn, Vaughn, Johnson, Empty",2014 ECAC-IC4A Outdoor Championships,2014-05-16,4x400,M
54,Penn State (B),3:07.94,"Bennett-Green, Bennett-Green, Shisler, Robinson",Penn Relays,2014-04-24,4x400,M
55,Cornell (A),3:07.98,"Gibson, Hairston, Ojukwu, Hortelano-Roig",2014 Clyde Littlefield Texas Relays,2014-03-26,4x400,M
56,Maryland-Eastern Shore (G),3:08.18,"Spencer, Waite, Maylor, Chatmon",MEAC Outdoor Track & Field Championships,2014-05-01,4x400,M
57,Alabama (C),3:08.22,"Davis, Amankwah, Efkamp, Taylor",Alabama vs. Mississippi Border Clash,2014-04-11,4x400,M
58,Houston (F),3:08.27,"Boyd, Nolan, Fyffe, Charles",Mt. SAC Relays,2014-04-17,4x400,M
58,Baylor (I),3:08.27,"Holmes, Walker, Moore, Seale",Longhorn Invitational,2014-05-03,4x400,M
60,Mississippi (G),3:08.38,"Griffin, Morgan, Serrette, Young",LSU Invitational,2014-05-03,4x400,M
61,Minnesota (F),3:08.39,"Capek, Deng, Hechsel, Roese",2014 Drake Relays presented by Hy-Vee,2014-04-23,4x400,M
61,Long Beach St. (F),3:08.39,"McCloskey, Glasgow, Perez-Rogers, Lockett",2014 Drake Relays presented by Hy-Vee,2014-04-23,4x400,M
63,Stephen F. Austin (G),3:08.42,"Hawkins, Caudle, Taylor, Brown-Stewart",UCA Open,2014-04-18,4x400,M
64,BYU (H),3:08.50,"Yardley, Harper, Smith, Adams",Georgia Tech Invitational,2014-05-16,4x400,M
65,Coastal Carolina (F),3:08.55,"Lipscomb, Hackett-Greene, Hass, Brunson",Georgia Tech Invitational,2014-05-16,4x400,M
66,Penn State (C),3:08.57,"Bennett-Green, Bennett-Green, Shisler, Nadolsky",Penn Relays,2014-04-24,4x400,M
67,TCU (C),3:08.60,"McSwain, Watts, Chambers, Baker",2014 Clyde Littlefield Texas Relays,2014-03-26,4x400,M
68,Charlotte (E),3:08.62,"Bynum, Boyd, Livingston, Tate",Conference USA Outdoor Track & Field Championships,2014-05-15,4x400,M
69,Texas Tech (C),3:08.63,"Richards III, Extol, Brinn, Foster",ACU Wes Kittley Invitational,2014-04-12,4x400,M
70,Mississippi (E),3:08.66,"Griffin, Morgan, Serrette, Sherrer",SEC Outdoor Championship,2014-05-15,4x400,M
71,Baylor (D),3:08.67,"Duke, Holmes, Moore, Seale",Florida Relays,2014-04-03,4x400,M
72,Texas A&M (A),3:08.68,"Coleman, Hardy, Jr., Hickey, Roudette",UTSA Texas Challenge Invitational,2014-03-21,4x400,M
73,LIU Brooklyn (M),3:08.71,"Petit-Homme, Rodney, Walker-Khan, McLean",2014 ECAC-IC4A Outdoor Championships,2014-05-16,4x400,M
74,Hampton (A),3:08.73,"Black, Okezie, Ibadin, Hutchison",2014 ECAC-IC4A Outdoor Championships,2014-05-16,4x400,M
75,Loyola (Ill.) (G),3:08.89,"Wetzel, Abbott, Hayes, Glastetter",2014 MVC Outdoor Track & Field Championships,2014-05-16,4x400,M
75,Rhode Island (F),3:08.89,"Young, Gray, Nasso, Davidson",NEICAAA Outdoor Track & Field Championships,2014-05-08,4x400,M
77,LSU (C),3:08.91,"Downing, Dunkley, Mitchell-Blake, Grayson",Miami Hurricane Alumni Invitational,2014-04-12,4x400,M
78,Rutgers (A),3:08.92,"Jordan, Crawford, Dunbar, Griffith",The American Outdoor Track & Field Championships,2014-05-02,4x400,M
79,Texas (B),3:08.95,"Conradie, Bilderback, Whyte, Irvin",2014 Clyde Littlefield Texas Relays,2014-03-26,4x400,M
80,Coppin State (I),3:08.96,"Chase, Taylor, James, Daniel",2014 ECAC-IC4A Outdoor Championships,2014-05-16,4x400,M
81,BYU (A),3:08.97,"Harper, Smith, Carlson, Adams",2014 Clyde Littlefield Texas Relays,2014-03-26,4x400,M
81,Kent State (D),3:08.97,"Tobin, Dunlap, Swords, Brown III",Tennessee Relays,2014-04-10,4x400,M
83,LIU Brooklyn (D),3:09.02,"Petit-Homme, Rodney, Walker-Khan, McLean",2014 Clyde Littlefield Texas Relays,2014-03-26,4x400,M
83,Miss State (H),3:09.02,"Hearn, Moona, McBride, Shoto",SEC Outdoor Championship,2014-05-15,4x400,M
85,LIU Brooklyn (G),3:09.10,"Petit-Homme, Rodney, Morgan, McLean",Florida Relays,2014-04-03,4x400,M
86,Charlotte (F),3:09.17,"Bynum, Boyd, Hamilton, Tate",Florida Relays,2014-04-03,4x400,M
87,South Carolina (C),3:09.19,"Winfrey, Kanervo, Walker, Collier",Florida Relays,2014-04-03,4x400,M
88,Indiana State (A),3:09.25,"Shaw, Piraino, Jackson, Tuttle",2014 Drake Relays presented by Hy-Vee,2014-04-23,4x400,M
89,Illinois (D),3:09.34,"Viney, McAsey, Allen, Pamilton",Illinois Twilight,2014-04-12,4x400,M
90,Army (F),3:09.36,"Smith, Green, Taylor, Santana",Penn Relays,2014-04-24,4x400,M
91,Maryland-Eastern Shore (F),3:09.43,"Johnson, Waite, Spencer, Chatmon",Penn Relays,2014-04-24,4x400,M
92,Purdue (N),3:09.49,"Ikpefan, Frederick, Peart, Mostert",Big Ten Outdoor Track & Field Championships,2014-05-16,4x400,M
93,George Mason (I),3:09.51,"Vaughn, Empty, Smalls, Sykes",Florida Relays,2014-04-03,4x400,M
94,Texas A&M (L),3:09.52,"Roudette, Hernandez, Hernandez, Hickey",LSU Invitational,2014-05-03,4x400,M
95,Georgia (A),3:09.55,"Freeman, White, Glover, Branch",Alabama Relays,2014-03-20,4x400,M
96,Louisiana Tech (B),3:09.57,"Hart, Sampract, Statham, Hadnot",2014 Clyde Littlefield Texas Relays,2014-03-26,4x400,M
97,South Carolina (G),3:09.59,"Winfrey, Royster, Bermudez, Redic",SEC Outdoor Championship,2014-05-15,4x400,M
98,Kent State (B),3:09.61,"Tobin, Dunlap, Young, Brown III",2014 Drake Relays presented by Hy-Vee,2014-04-23,4x400,M
