,TEAM,TIME,ATHLETES,MEET,MEET DATE,EVENT,GENDER
97,USC (D),3:09.56,"Morgan, Ford, De Grasse, Jackson",Trojan Invitational,2015-03-20,4x400,M
99,Miami (G),3:09.63,"Ryan, Delauze, Cook, Wolliston",UF Tom Jones Memorial,2015-04-24,4x400,M
100,Florida State (C),3:09.66,"Cherry, Moona, Rose, Rhoden",Florida Relays,2015-04-02,4x400,M
1,Texas A&M,3:01.77,"Deadmon, Grant, Johnson, Dixon",SEC Outdoor Track & Field Championships,2019-05-09,4x400,M
2,LSU,3:02.09,"Camel, Mosby, Flournoy, Terry",SEC Outdoor Track & Field Championships,2019-05-09,4x400,M
3,Houston,3:02.61,"Lattin, Holt, Burke, Igbokwe",125th Penn Relays,2019-04-25,4x400,M
4,LSU (B),3:02.88,"Camel, Kibet, Mosby, Terry",Miami Hurricane Alumni Invitational,2019-04-12,4x400,M
5,Iowa,3:03.10,"Lawrence Jr., Woodard, Hofacker, Harris",Florida Relays,2019-03-28,4x400,M
6,Baylor,3:03.17,"Baldridge, Fields III, Moorer, London",Michael Johnson Invitational,2019-04-19,4x400,M
7,Florida,3:03.25,"Hill, Sawyers, Villaman, Holloway",Florida Relays,2019-03-28,4x400,M
8,Texas A&M (B),3:03.30,"Izu, Johnson, Grant, Dixon",2019 92nd Clyde Littlefield Texas Relays,2019-03-27,4x400,M
9,South Carolina,3:03.33,"Chance, Hall, Jones, Robbins",Gamecock Invitational Outdoor,2019-04-13,4x400,M
10,Arkansas,3:03.53,"Winn, Woodhall, Brown, Schwartz",SEC Outdoor Track & Field Championships,2019-05-09,4x400,M
11,USC,3:03.54,"Samuel, Allen Jr., Jewett, Shinnick",Mt. SAC Relays,2019-04-18,4x400,M
12,Western Kentucky,3:03.78,"Alexandre, Owusu-Antwi, Warren, Gates",Florida Relays,2019-03-28,4x400,M
13,Rutgers,3:04.27,"Jenkins, Burgess, Pierce, Brown",Florida Relays,2019-03-28,4x400,M
14,Western Kentucky (B),3:04.50,"Kelly, Alexandre, Warren, Owusu-Antwi",Conference USA Outdoor Championships,2019-05-09,4x400,M
15,TCU,3:04.86,"Andrews, Matiyenga, Bender, Mokaleng",Big 12 Outdoor Track and Field Championships,2019-05-10,4x400,M
15,Baylor (B),3:04.86,"Baldridge, London, Dickson, Fields III",The Reveille Meet,2019-04-06,4x400,M
17,Houston (B),3:05.05,"Lattin, Valentine, Lewis, Holt",Mt. SAC Relays,2019-04-18,4x400,M
18,Florida (B),3:05.08,"Lobo Vedel, Johnson, Poole, Holloway",SEC Outdoor Track & Field Championships,2019-05-09,4x400,M
19,N. Carolina A&T,3:05.13,"Sirleaf, Stewart, Hamilton, Dickson",Florida Relays,2019-03-28,4x400,M
20,Florida (C),3:05.31,"Johnson, Sawyers, Villaman, Lobo Vedel",UF Tom Jones Memorial,2019-04-26,4x400,M
21,Ohio State,3:05.42,"Harrison, Gray, Mott, Seward",Florida Relays,2019-03-28,4x400,M
22,Iowa State,3:05.50,"Johnson, Roomes, Kelly, Fogltanz",Big 12 Outdoor Track and Field Championships,2019-05-10,4x400,M
23,Purdue,3:05.58,"Hollis, Colebrooke, Dotson, Faust",Florida Relays,2019-03-28,4x400,M
24,Clemson,3:05.63,"Tolbert, Hewitt, Lewis, Parker",Florida Relays,2019-03-28,4x400,M
25,Iowa (B),3:05.67,"Bartley, Woodard, Lawrence Jr., Harris",Mt. SAC Relays,2019-04-18,4x400,M
26,USC (B),3:05.73,"Samuel, Owens, Green, Jewett",2019 Pac-12 Track & Field Championships,2019-05-04,4x400,M
26,LSU (C),3:05.73,"Camel, Kibet, Hislop, Terry",LSU Battle on the Bayou,2019-04-06,4x400,M
28,TCU (B),3:05.78,"Andrews, Flowers, Matiyenga, Mokaleng",2019 92nd Clyde Littlefield Texas Relays,2019-03-27,4x400,M
29,Baylor (C),3:05.83,"Baldridge, Moorer, Dickson, Fields III",2019 92nd Clyde Littlefield Texas Relays,2019-03-27,4x400,M
30,Arizona,3:05.98,"Washington, Smith, Sincukovs, Williams",2019 Pac-12 Track & Field Championships,2019-05-04,4x400,M
31,Charlotte,3:06.23,"Menzel, Bass, McCrary, Woodard",Florida Relays,2019-03-28,4x400,M
32,Oregon,3:06.31,"Miller, Harvey, Daniel, Emilien",2019 Pac-12 Track & Field Championships,2019-05-04,4x400,M
33,Maryland,3:06.51,"Robinson, Jones, Miawad, Morris",125th Penn Relays,2019-04-25,4x400,M
34,Texas A&M (C),3:06.65,"Thomas, Ethridge, Tucker, Orange",2019 Baldy Castillo Invitational,2019-03-15,4x400,M
35,Miami (Fla.),3:06.75,"Brown, Moulton, Burns, Fuller",Miami Hurricane Alumni Invitational,2019-04-12,4x400,M
36,Maryland (B),3:06.87,"Robinson, Jones, Rowe, Morris",125th Penn Relays,2019-04-25,4x400,M
37,Texas Tech,3:06.89,"Oduduru, Hudson, Crisp, Grimes",2019 92nd Clyde Littlefield Texas Relays,2019-03-27,4x400,M
38,Kansas,3:06.97,"Davis, Fogle, Johnson, Hoppel",Big 12 Outdoor Track and Field Championships,2019-05-10,4x400,M
39,BYU,3:07.08@,"Schaap, Yardley, Ellis, Bluth",2019 BYU Robison Invitational,2019-04-25,4x400,M
40,Ohio State (B),3:07.11,"Cooper, Jeff, James, Johnson",Gamecock Invitational Outdoor,2019-04-13,4x400,M
41,Texas Tech (B),3:07.20,"Stephenson, Grimes, Crisp, Cepus",The Reveille Meet,2019-04-06,4x400,M
42,Mid. Tenn. State,3:07.25,"Petty, Torian, Bisschop, Wright",125th Penn Relays,2019-04-25,4x400,M
42,TCU (C),3:07.25,"Hennesay, Andrews, Matiyenga, Mokaleng",Michael Johnson Invitational,2019-04-19,4x400,M
44,Western Kentucky (C),3:07.33,"Kelly, Hayes, Agyemang, Berry",2019 Lenny Lyles-Clark Wood Invitational,2019-04-26,4x400,M
45,Iowa (C),3:07.36,"Lawrence Jr., Thompson, Lilly, Harris",Big Ten Championships,2019-05-10,4x400,M
46,Houston (C),3:07.37,"Jordan, Lewis, Valentine, Jefferson",2019 92nd Clyde Littlefield Texas Relays,2019-03-27,4x400,M
46,Arkansas (B),3:07.37,"Caldwell, Brown, Hari, Woodhall",Michael Johnson Invitational,2019-04-19,4x400,M
48,Mid. Tenn. State (B),3:07.41,"Sanders, Bisschop, Torian, Wright",Vanderbilt Black & Gold Invitational,2019-03-22,4x400,M
49,North Carolina,3:07.43,"Palmer, Douglas, Cogdell, Saint-Germain",UF Tom Jones Memorial,2019-04-26,4x400,M
50,Colorado,3:07.46,"Maas, McCoy, Smith, McClurkin JR",2019 92nd Clyde Littlefield Texas Relays,2019-03-27,4x400,M
51,Kentucky,3:07.50,"Smith, Bann, St Hillaire, Council",Florida Relays,2019-03-28,4x400,M
51,Houston (D),3:07.50,"Lattin, Outing, Alcorn, Igbokwe",125th Penn Relays,2019-04-25,4x400,M
53,Iowa (D),3:07.63,"Larrison, Lilly, Manternach, Lietz",Florida Relays,2019-03-28,4x400,M
54,Arkansas-Pine Bluff,3:07.67,"Heath, Smith, McAlpin, Garner",2019 SWAC Outdoor T&F Championships,2019-05-03,4x400,M
55,UT-Arlington,3:07.72,"Mitchell, Wallace, Martinsson, Seastrunk",Texas A&M Alumni Muster,2019-04-27,4x400,M
56,Abilene Christian,3:07.76,"Williams, Linton, Brownlow, Williams",2019 92nd Clyde Littlefield Texas Relays,2019-03-27,4x400,M
57,Baylor (D),3:07.81,"Platt, Fields III, Moorer, London",National Relay Championships,2019-04-26,4x400,M
58,Mid. Tenn. State (C),3:07.83,"Petty, Torian, Sanders, Wright",War Eagle Invitational 2019,2019-04-19,4x400,M
59,USC (C),3:07.88,"Samuel, Allen Jr., Owens, Jewett",Jim Click Shootout,2019-04-06,4x400,M
60,South Carolina (B),3:07.98,"Chance, Talbert, Jones, Robbins",125th Penn Relays,2019-04-25,4x400,M
60,South Carolina (C),3:07.98,"Chance, Walker, Talbert, Robbins",125th Penn Relays,2019-04-25,4x400,M
62,Ohio State (C),3:08.04,"Cooper, Johnson, Hayes, Jeff",Big Ten Championships,2019-05-10,4x400,M
63,Nebraska,3:08.09,"Washington, Lucy, Barrett, Hutchinson",Crimson Tide Invitational,2019-04-11,4x400,M
64,Maryland (C),3:08.14,"Robinson, Rowe, Miawad, Jones",Big Ten Championships,2019-05-10,4x400,M
65,SE Louisiana,3:08.16,"Storr, Coleman, Benson II, Jones",Florida Relays,2019-03-28,4x400,M
66,Western Kentucky (D),3:08.23,"Kelly, Owusu-Antwi, Agyemang, Seged",Mt. SAC Relays,2019-04-18,4x400,M
67,USC (D),3:08.25,"Samuel, Robinson, Jewett, Shinnick",USC vs UCLA,2019-04-27,4x400,M
68,LSU (D),3:08.28,"Boyd, Kibet, Camel, Terry",LSU Invitational,2019-04-27,4x400,M
69,Purdue (B),3:08.30,"McLaren, Colebrooke, Williams, Faust",Big Ten Championships,2019-05-10,4x400,M
70,Miss State,3:08.31,"Evans, Crump, Tatham, Miller",SEC Outdoor Track & Field Championships,2019-05-09,4x400,M
71,Cal St. Fullerton,3:08.48,"Samaniego, House, Shiley, Espinoza",Big West Outdoor Track & Field Championships,2019-05-10,4x400,M
72,Arkansas (C),3:08.56,"Caldwell, Brown, Hilson, Milholen",John McDonnell Invitational,2019-04-12,4x400,M
73,Houston (E),3:08.58,"Lattin, Booker, Valentine, Holt",The American Outdoor Track & Field Championships,2019-05-10,4x400,M
74,Nebraska (B),3:08.60,"Barrett, Lucy, Nou, Hutchinson",Big Ten Championships,2019-05-10,4x400,M
75,Stephen F. Austin,3:08.62,"Murphy, Ruiz, Pittman, Bennett",Texas A&M Alumni Muster,2019-04-27,4x400,M
76,Florida (D),3:08.66,"Johnson, Clark, Hollis, Guillory",Florida Relays,2019-03-28,4x400,M
76,Arkansas (D),3:08.66,"Schwartz, Brown, Ejiakuekwu, Woodhall",National Relay Championships,2019-04-26,4x400,M
78,Texas,3:08.67,"Brown Jr., Jones, Worley, Macharia",Big 12 Outdoor Track and Field Championships,2019-05-10,4x400,M
79,Mississippi Valley,3:08.75,"Gardener, Bailey, Mitchell, Davis",2019 SWAC Outdoor T&F Championships,2019-05-03,4x400,M
80,Navy,3:08.78,"Hughey, Petsch, Hurd, Finnegan",125th Penn Relays,2019-04-25,4x400,M
81,UCLA,3:08.86,"Powell, Stone, Holloway, Herrera",Mt. SAC Relays,2019-04-18,4x400,M
82,UCLA (B),3:08.94,"Stone, Powell, Marshall, Herrera",2019 Willie Williams Classic College,2019-03-15,4x400,M
83,UC Riverside,3:08.96,"Williams, Parker, Cruz, Anderson",Big West Outdoor Track & Field Championships,2019-05-10,4x400,M
84,Oklahoma State,3:08.97,"Mays, Hicks, Green, Long",2019 92nd Clyde Littlefield Texas Relays,2019-03-27,4x400,M
85,George Mason,3:08.99,"Gomez, Pierre, Barborek, Benson",125th Penn Relays,2019-04-25,4x400,M
86,Troy,3:09.04,"Hayes, Likely, McCleskey, Dudley",Sun Belt Outdoor Track and Field Championships,2019-05-10,4x400,M
87,Minnesota,3:09.11,"Webb, Davis, Tracy, Psicihulis",Jim Click Shootout,2019-04-06,4x400,M
87,Virginia Tech,3:09.11,"Green, Davenport, Mosavel-Lo, Patterson",125th Penn Relays,2019-04-25,4x400,M
89,Oral Roberts,3:09.12,"Johnson, Mwewa, Neely, Dormeus",John McDonnell Invitational,2019-04-12,4x400,M
90,N. Carolina A&T (B),3:09.15,"Lindo, Felix, Bonham, Mighty",MEAC Outdoor Track & Field Championships,2019-05-02,4x400,M
91,George Mason (B),3:09.17,"Klah, Pierre, Benson, Gomez",40th Sun Angel Track Classic,2019-04-05,4x400,M
92,Abilene Christian (B),3:09.20,"Williams, Williams, Linton, Williams",2019 92nd Clyde Littlefield Texas Relays,2019-03-27,4x400,M
93,Washington,3:09.22,"Elliott, Palmer, Santana, Mafilas",2019 Pac-12 Track & Field Championships,2019-05-04,4x400,M
94,California,3:09.23,"McMorris, Saleh, Bland, Chohan",2019 Pac-12 Track & Field Championships,2019-05-04,4x400,M
95,BYU (B),3:09.31,"Ruiz, Yardley, Ellis, Bluth",Mt. SAC Relays,2019-04-18,4x400,M
96,Baylor (E),3:09.33,"Dickson, Platt, Gifford, Anderson",Michael Johnson Invitational,2019-04-19,4x400,M
97,UCLA (C),3:09.41,"Stone, Powell, Herrera, Kelly",2019 Pac-12 Track & Field Championships,2019-05-04,4x400,M
98,Houston (F),3:09.45,"Lattin, Holt, Burke, Montgomery",Houston Alumni Invitational,2019-04-06,4x400,M
99,Texas A&M (D),3:09.48,"Zamzow, Izu, Ethridge, Orange",The Reveille Meet,2019-04-06,4x400,M
100,UCLA (D),3:09.53,"Herrera, Marshall, Pikes, Stone",Jim Bush Legends Invitational,2019-03-30,4x400,M
1,LSU (F),3:00.38,"Bruton, Cherry, Grayson, Dunkley",LSU Alumni Gold,2016-04-23,4x400,M
2,LSU (B),3:01.83,"Bruton, Cherry, Dunkley, Flournoy",2016 Nike Clyde Littlefield Texas Relays,2016-03-30,4x400,M
3,Texas (C),3:02.18,"Irvin, Robinson, Bailey Jr., Bilderback",2016 Nike Clyde Littlefield Texas Relays,2016-03-30,4x400,M
4,Texas A&M (K),3:02.96,"Hickey, Grant, Brazier, Kerley",Michael Johnson Classic,2016-04-23,4x400,M
5,Florida (E),3:03.07,"Graham, Jr, Hall, Fasasi, Glass",UF Tom Jones Memorial,2016-04-22,4x400,M
6,LSU (G),3:03.25,"Flournoy, Cherry, Howell, Dunkley",LSU Invitational,2016-04-30,4x400,M
7,Texas A&M (E),3:03.34,"Hickey, Grant, Izu, Kerley",2016 Nike Clyde Littlefield Texas Relays,2016-03-30,4x400,M
8,Florida (C),3:03.42,"Graham, Jr, Hall, Futch, Glass",Florida Relays,2016-03-31,4x400,M
9,Nebraska (F),3:03.74,"Gipson, Townsend, Bransby, Rush",Big Ten Conference Outdoor Track & Field Championships,2016-05-13,4x400,M
10,Baylor (C),3:04.24,"London, Dickson, Moore, Caddick",2016 Nike Clyde Littlefield Texas Relays,2016-03-30,4x400,M
10,Tennessee (C),3:04.24,"Cogdell, Coleman, Williams, Strother",SEC Championships,2016-05-12,4x400,M
12,Minnesota (C),3:04.46,"Neumann, Roese, Deng, Wellenstein",Big Ten Conference Outdoor Track & Field Championships,2016-05-13,4x400,M
13,LSU (C),3:04.59,"Cherry, Howell, Bruton, Flournoy",LSU Battle on the Bayou,2016-04-09,4x400,M
14,Purdue (B),3:04.75,"Parks, Ikpefan, Frederick, McLaren",Big Ten Conference Outdoor Track & Field Championships,2016-05-13,4x400,M
15,Florida (F),3:04.78,"Fasasi, Hall, Clark, Glass",Penn Relays,2016-04-28,4x400,M
16,Miss State (C),3:04.99,"Castillo, Waters, Larry, Tatham",Florida Relays,2016-03-31,4x400,M
17,Texas Tech (I),3:05.18,"Richards III, Collins, McBride, Crisp",Michael Johnson Classic,2016-04-23,4x400,M
18,Baylor (A),3:05.23,"Gary, London, Moore, Dickson",Ricardo Romo Invitational,2016-03-24,4x400,M
19,Miss State (H),3:05.38,"James, II, Larry, McBride, Tatham",SEC Championships,2016-05-12,4x400,M
20,Miss State (G),3:05.48,"Smith, Waters, McBride, Larry",LSU Alumni Gold,2016-04-23,4x400,M
21,Texas (G),3:05.51,"Anumnu, Bailey Jr., Irvin, Bilderback",2016 Drake Relays presented by Hy-Vee,2016-04-27,4x400,M
22,Stanford (E),3:05.59,"Williams, Kurtz, Brandt-Sims, Shumway",Michael Johnson Classic,2016-04-23,4x400,M
23,Iowa (L),3:05.72,"Wolff, Harris, Lilly, Frye",Big Ten Conference Outdoor Track & Field Championships,2016-05-13,4x400,M
24,Kansas (J),3:05.73,"Henry, Hartley, Daniels, Livingston",Big 12 Outdoor Track & Field Championships,2016-05-13,4x400,M
25,Texas A&M (A),3:05.75,"Grant, Hickey, Rose, Kerley",Baldy Castillo Invitational,2016-03-18,4x400,M
26,Baylor (H),3:05.78,"Dickson, London, Duke, Caddick",Big 12 Outdoor Track & Field Championships,2016-05-13,4x400,M
27,North Carolina (D),3:06.03,"Lipsey, Selmon, Nicholls, Ways",ACC Championships,2016-05-13,4x400,M
28,Florida (D),3:06.04,"Uruburu, Clark, Holmes, Fasasi",Florida Relays,2016-03-31,4x400,M
29,Texas (E),3:06.06,"Givans, Bilderback, Bailey Jr., Robinson",LSU Alumni Gold,2016-04-23,4x400,M
30,Georgia (E),3:06.09,"Freeman, Glover, Hampton, Evans",SEC Championships,2016-05-12,4x400,M
31,Stephen F. Austin (D),3:06.17,"Sharp, Gibson, Moore, Kerley",2016 Nike Clyde Littlefield Texas Relays,2016-03-30,4x400,M
32,Clemson (C),3:06.18,"Lamb, Cheeks, Bellafonte, Green",Georgia Tech Yellow Jacket Invitational,2016-03-25,4x400,M
33,TCU (B),3:06.22,"Washington, Watts, Bozmans, McClanahan",2016 Nike Clyde Littlefield Texas Relays,2016-03-30,4x400,M
34,Pittsburgh (C),3:06.23,"Taylor, Tate, Slay, Palmer",ACC Championships,2016-05-13,4x400,M
35,Arkansas (D),3:06.28,"Stephen, Igbokwe, Ejiakuekwu, Janise",Arkansas Twilight,2016-05-06,4x400,M
36,Arkansas (E),3:06.30,"Washington, Mowatt, Thomas, Lawson",Arkansas Twilight,2016-05-06,4x400,M
37,Stephen F. Austin (C),3:06.32,"Joe, Gibson, Sharp, Kerley",Mt. SAC Relays,2016-04-14,4x400,M
38,Tennessee (A),3:06.37,"Cogdell, Coleman, Harris, Strother",Florida Relays,2016-03-31,4x400,M
39,Kansas (A),3:06.48,"Henry, Matthews, Livingston, Wilson",2016 Nike Clyde Littlefield Texas Relays,2016-03-30,4x400,M
40,Florida (A),3:06.51,"Graham, Jr, Hall, Uruburu, Fasasi",Power Conference Cardinal & Gold,2016-03-25,4x400,M
41,Nebraska (C),3:06.58,"Gipson, Alexandre, Bransby, Rush",Kansas Relays,2016-04-20,4x400,M
42,Florida (B),3:06.61,"Glass, Graham, Jr, Uruburu, Fasasi",Florida Relays,2016-03-31,4x400,M
43,Baylor (F),3:06.68,"Duke, Dickson, Moore, London",Michael Johnson Classic,2016-04-23,4x400,M
44,Texas State (C),3:06.72,"Warren, Johnson, Lee, Porter",2016 Nike Clyde Littlefield Texas Relays,2016-03-30,4x400,M
45,Iowa (D),3:06.88,"Wolff, Harris, Mallett, Frye",Florida Relays,2016-03-31,4x400,M
46,Utah State (C),3:06.93,"Martin, Boully, Bluth, Lambourne",2016 Drake Relays presented by Hy-Vee,2016-04-27,4x400,M
47,Texas A&M (J),3:07.09,"Thomas, Rose, Hernandez, Grant",UCLA vs. Texas A&M Dual Meet,2016-04-16,4x400,M
48,Clemson (K),3:07.19,"Lamb, Cheeks, Lewis, Bellafonte",ACC Championships,2016-05-13,4x400,M
49,Rutgers (C),3:07.21,"Knox, Griffith, Dunbar, Brown",Big Ten Conference Outdoor Track & Field Championships,2016-05-13,4x400,M
50,Penn State (C),3:07.25,"Chisena, Shisler, Reiser, Harris",Big Ten Conference Outdoor Track & Field Championships,2016-05-13,4x400,M
51,Texas Tech (K),3:07.29,"Richards III, Collins, McBride, Smith",2016 Drake Relays presented by Hy-Vee,2016-04-27,4x400,M
52,Akron (C),3:07.36,"Baldwin, Gray, Weems, Murphy",2016 Nike Clyde Littlefield Texas Relays,2016-03-30,4x400,M
52,Clemson (G),3:07.36,"Cheeks, Lamb, Lewis, Green",Tiger Track Classic,2016-04-08,4x400,M
54,Utah State (H),3:07.40@,"BLUTH, Martin, BOULLY, Lambourne",2016 BYU Robison Invitational,2016-04-21,4x400,M
55,Oral Roberts (C),3:07.42,"Akerele, Hicks, James, Ndlovu",Rock Chalk Classic,2016-04-30,4x400,M
56,Georgia (C),3:07.44,"Evans, Jenkins, Calhoun, Freeman",Florida Relays,2016-03-31,4x400,M
57,Houston (N),3:07.47,"Lattin, Mills, Bell, Burke",The American Outdoor Track & Field Championships,2016-05-12,4x400,M
57,Texas Tech (D),3:07.47,"Champlin, Collins, Jones, Crisp",2016 Nike Clyde Littlefield Texas Relays,2016-03-30,4x400,M
59,Texas A&M (N),3:07.49,"Age, Rose, Brazier, Thomas",LSU Invitational,2016-04-30,4x400,M
60,Ohio State (A),3:07.51,"Blanks, Gray, Jackson, Page",2016 Drake Relays presented by Hy-Vee,2016-04-27,4x400,M
60,Kansas (H),3:07.51,"Wilson, Daniels, Matthews, Livingston",Rock Chalk Classic,2016-04-30,4x400,M
62,Kansas (E),3:07.63,"Henry, Hartley, Wilson, Livingston",Kansas Relays,2016-04-20,4x400,M
63,Minnesota (E),3:07.64,"Wellenstein, Roese, Deng, Hechsel",Virginia Challenge,2016-04-22,4x400,M
63,Texas A&M (L),3:07.64,"Hernandez, Rose, Age, Thomas",Michael Johnson Classic,2016-04-23,4x400,M
65,Arkansas (A),3:07.66,"Igbokwe, Janise, Stephen, Washington",2016 Nike Clyde Littlefield Texas Relays,2016-03-30,4x400,M
66,N. Carolina A&T (A),3:07.67,"Hamilton, Claggett, Aiken, Harding",MEAC Outdoor Track & Field Championships,2016-05-05,4x400,M
67,Arkansas (F),3:07.68,"Anderson, Donald, Washington, Blakely",Arkansas Twilight,2016-05-06,4x400,M
68,Illinois (F),3:07.78,"Allen, Burns, Viney, McAsey",Big Ten Conference Outdoor Track & Field Championships,2016-05-13,4x400,M
69,North Carolina (C),3:07.81,"Selmon, Nicholls, Wanliss, Ways",Battle of the Blues,2016-04-01,4x400,M
70,Texas A&M (I),3:07.83,"Hickey, Brazier, Ellison, Martin",UCLA vs. Texas A&M Dual Meet,2016-04-16,4x400,M
71,Purdue (E),3:07.95,"Parks, Webb, Frederick, Ikpefan",2016 Drake Relays presented by Hy-Vee,2016-04-27,4x400,M
71,Baylor (D),3:07.95,"Moore, Musgrove, Dickson, London",2016 Baylor Invitational,2016-04-09,4x400,M
73,LSU (A),3:07.97,"Bruton, Dunkley, Flournoy, Grayson",Miami Hurricane Twilight Invitational,2016-03-25,4x400,M
74,BYU (F),3:08.00@,"Scheible, White, Carlson, Walker",2016 BYU Robison Invitational,2016-04-21,4x400,M
75,Arizona (A),3:08.03,"Houston, Eichler, Demby, Parish",2016 Duel in the Desert,2016-04-30,4x400,M
76,Morgan State (C),3:08.06,"Roberson, St. Louis, Johnson, Johnson",Florida Relays,2016-03-31,4x400,M
77,LIU Brooklyn (C),3:08.13,"Bunion, Rodney, Petit-Homme, McLean",Raleigh Relays,2016-03-25,4x400,M
77,Cincinnati (D),3:08.13,"Witcher, Brooks, Smith, Alexander",The American Outdoor Track & Field Championships,2016-05-12,4x400,M
79,Michigan (C),3:08.43,"Chapman, Washington, Munley, McLaughlin",Big Ten Conference Outdoor Track & Field Championships,2016-05-13,4x400,M
80,Utah State (B),3:08.46,"Martin, Bluth, Hunt, Lambourne",2016 Nike Clyde Littlefield Texas Relays,2016-03-30,4x400,M
80,N. Carolina A&T (B),3:08.46,"Hamilton, Claggett, Dickson, Harding",Florida Relays,2016-03-31,4x400,M
82,Arkansas (G),3:08.49,"Ejiakuekwu, Janise, Anderson, Washington",SEC Championships,2016-05-12,4x400,M
82,LIU Brooklyn (F),3:08.49,"Cue, McLean, Petit-Homme, Bunion",Georgia Tech Invitational,2016-04-22,4x400,M
84,St. Joseph's (Pa.) (H),3:08.55,"Henderson, Banks, Doaty, Peabody",Penn Relays,2016-04-28,4x400,M
85,Indiana (B),3:08.58,"Kuhn, Roach, Reitzug, Manley",2016 Billy Hayes Invitational,2016-05-06,4x400,M
85,Morgan State (E),3:08.58,"Roberson, St. Louis, Varella, Johnson",MEAC Outdoor Track & Field Championships,2016-05-05,4x400,M
87,Arkansas (C),3:08.59,"Stephen, Janise, Thomas, Orange",John McDonnell Invitational,2016-04-22,4x400,M
88,Illinois State (D),3:08.61,"Montgomery, Hamilton, Lewis, Devonish",Wisconsin Twilight,2016-05-06,4x400,M
89,North Carolina (E),3:08.66,"Selmon, Lipsey, Wanliss, Nicholls",Virginia Challenge,2016-04-22,4x400,M
90,Western Kentucky (H),3:08.74,"Redwine, Dasor, Sears, Seged",Penn Relays,2016-04-28,4x400,M
90,Louisville (C),3:08.74,"Moore, Brown, Peck, Keys",Florida Relays,2016-03-31,4x400,M
92,North Carolina St. (A),3:08.75,"Krehnbrink, Cunningham, Patterson, Davis",Florida Relays,2016-03-31,4x400,M
93,Connecticut (D),3:08.82,"Beram, Henry, Sykes, Amonu",The American Outdoor Track & Field Championships,2016-05-12,4x400,M
94,South Carolina (G),3:08.84,"Echols, Kanervo, Chiles, Collier",Florida Relays,2016-03-31,4x400,M
95,SE Missouri (B),3:08.89,"Wright, Chunn, Barber, Pasley",Georgia Tech Invitational,2016-04-22,4x400,M
95,LIU Brooklyn (G),3:08.89,"Cue, Rodney, Petit-Homme, McLean",Penn Relays,2016-04-28,4x400,M
97,Purdue (A),3:08.91,"Parks, Rolle, Ikpefan, McLaren",2016 Nike Clyde Littlefield Texas Relays,2016-03-30,4x400,M
98,Albany (E),3:09.00,"Tomlinson, Jobe, Banfield, Jones",Penn Relays,2016-04-28,4x400,M
99,Miami (D),3:09.03,"Mullings, Delauze, Jones, Ryan",ACC Championships,2016-05-13,4x400,M
100,Memphis (E),3:09.06,"Walker, Klatt, Green, Church",The American Outdoor Track & Field Championships,2016-05-12,4x400,M
