,ATHLETE,YEAR,TEAM,MARK,CONV,MEET,MEET DATE,WIND,EVENT,GENDER
1,"Brown, Charles",SO-2,Texas Tech,8.25m,"27' 1""",2017 Horned Frog Invitational,2017-04-15,3.9,LJ,M
2,"Bates, KeAndre",JR-3,Florida,8.13m,"26' 8.25""",2017 Horned Frog Invitational,2017-04-15,3.2,LJ,M
2,"Ward, Ja'Mari",FR-1,Missouri,8.13m,"26' 8.25""",SEC Outdoor Track & Field Championships,2017-05-11,0.0,LJ,M
4,"Holloway, Grant",FR-1,Florida,8.04m,"26' 4.5""",2017 Horned Frog Invitational,2017-04-15,1.5,LJ,M
5,"Fincham-Dukes, Jacob",SO-2,Oklahoma State,8.02m,"26' 3.75""",2017 Horned Frog Invitational,2017-04-15,3.4,LJ,M
6,"Hall, Justin",FR-1,Texas Tech,8.01m,"26' 3.5""",2017 Horned Frog Invitational,2017-04-15,3.9,LJ,M
7,"Moffett, Malik",JR-3,Penn State,8.00m,"26' 3""",Big Ten Outdoor Championships,2017-05-12,0.9,LJ,M
8,"Williams, Will",JR-3,Texas A&M,7.99m,"26' 2.75""",SEC Relays,2017-04-28,3.6,LJ,M
8,"Briggs, Kemonie",SO-2,Long Beach St.,7.99m,"26' 2.75""",Beach vs UCLA,2017-03-04,2.5,LJ,M
10,"Abubakar, Mohammed",JR-3,Kentucky,7.98m,"26' 2.25""",Texas Invitational,2017-04-14,2.1,LJ,M
11,"Bazile, Zack",JR-3,Ohio State,7.97m,"26' 1.75""",Big Ten Outdoor Championships,2017-05-12,0.8,LJ,M
12,"Simpson, Damarcus",JR-3,Oregon,7.95m,"26' 1""",Pac-12 Championships,2017-05-13,2.5,LJ,M
13,"Schrage, Harrison",FR-1,Arkansas,7.93m,"26' 0.25""",SEC Relays,2017-04-28,4.0,LJ,M
14,"Holmes, Isaiah",FR-1,UCLA,7.90m,"25' 11""",Pac-12 Championships,2017-05-13,1.5,LJ,M
14,"McBride, Chris",SO-2,Clemson,7.90m,"25' 11""",LSU Alumni Gold,2017-04-22,-0.8,LJ,M
16,"Jefferson, Trumaine",SO-2,Houston,7.87m,"25' 10""",The American Outdoor Track & Field Championships,2017-05-12,2.5,LJ,M
16,"Duckworth, Tim",JR-3,Kentucky,7.87m,"25' 10""",Spec Towns Invitational,2017-04-07,0.0,LJ,M
18,"Dickerson, Antwan",JR-3,Houston,7.86m,"25' 9.5""",The American Outdoor Track & Field Championships,2017-05-12,2.9,LJ,M
19,"Sloan, Eric",JR-3,USC,7.85m,"25' 9.25""",USC vs. UCLA,2017-04-29,1.0,LJ,M
19,"Uudmae, Jaak",JR-3,Stanford,7.85m,"25' 9.25""",Longhorn Invitational,2017-04-28,2.4,LJ,M
19,"Uwaifo, Efe",SR-4,Harvard,7.85m,"25' 9.25""",Ivy League Outdoor Track & Field Championships,2017-05-06,3.8,LJ,M
22,"Turner, Michael",SR-4,Sacramento St.,7.82m,"25' 8""",2017 Big Sky Outdoor Track & Field Championships,2017-05-10,1.2,LJ,M
22,"White, Travonn",JR-3,Arkansas,7.82m,"25' 8""",Arkansas Twilight,2017-05-05,0.7,LJ,M
24,"Eze, Emeka",SR-4,Rutgers,7.81m,"25' 7.5""",Mets Outdoor Track & Field Championships,2017-04-14,1.7,LJ,M
25,"Akindele, Dayo",SO-2,Kennesaw State,7.80m,"25' 7.25""",ASUN Outdoor Track & Field Championships,2017-05-12,3.5,LJ,M
26,"Pittman, Isaiah",SO-2,Stephen F. Austin,7.79m,"25' 6.75""",Southland Conference Outdoor Championship,2017-05-12,1.2,LJ,M
27,"McClain, Terrell",JR-3,Akron,7.78m,"25' 6.25""",Roadrunner Invitational,2017-03-23,1.7,LJ,M
27,"Wieland, Luca",SR-4,Minnesota,7.78m,"25' 6.25""",Big Ten Outdoor Championships,2017-05-12,0.0,LJ,M
27,"Price, Hunter",JR-3,Colorado St.,7.78m,"25' 6.25""",Mountain West Outdoor Track & Field Championships,2017-05-10,4.0,LJ,M
30,"Wasome, O'Brien",FR-1,Texas,7.77m,"25' 6""",Big 12 Outdoor Track & Field Championships,2017-05-12,3.5,LJ,M
31,"Randrianasolo, Yann",JR-3,South Carolina,7.76m,"25' 5.5""",Penn Relays,2017-04-27,0.1,LJ,M
31,"Reed, Willie",JR-3,Miss State,7.76m,"25' 5.5""",LSU Alumni Gold,2017-04-22,0.5,LJ,M
31,"Harris, Treyton",SO-2,Indiana,7.76m,"25' 5.5""",Pac-12 vs Big-10 Invitational,2017-03-24,1.2,LJ,M
34,"Williams, Devon",SR-4,Georgia,7.75m,"25' 5.25""",Spec Towns Invitational,2017-04-07,0.0,LJ,M
34,"Grant, Keniel",JR-3,Florida State,7.75m,"25' 5.25""",Stanford Cardinal Classic,2017-04-21,1.0,LJ,M
34,"McClain, Hayden",SR-4,Oklahoma,7.75m,"25' 5.25""",John Jacobs Invitational,2017-04-21,3.4,LJ,M
37,"Beachem, JaQuaveon",FR-1,Bethune-Cookman,7.74m,"25' 4.75""",North Florida Invitational,2017-04-08,2.9,LJ,M
38,"Sears, Ventavius",SR-4,Western Kentucky,7.73m,"25' 4.5""",Georgia Tech Invitational,2017-04-21,-1.3,LJ,M
38,"Grey, Rayvon",FR-1,LSU,7.73m,"25' 4.5""",SEC Outdoor Track & Field Championships,2017-05-11,1.3,LJ,M
40,"Souza, Joey",SO-2,North Carolina,7.71m,"25' 3.5""",Virginia Grand Prix,2017-04-29,2.0,LJ,M
41,"Smallwood, Dominic",JR-3,USC,7.69m,"25' 2.75""",Trojan Invitational,2017-03-17,0.0,LJ,M
42,"Latimer, Jordan",SO-2,Akron,7.68m,"25' 2.5""",Mid-American Outdoor Track & Field Championships,2017-05-11,2.1,LJ,M
43,"Newport, Oliver",JR-3,Louisville,7.67m,"25' 2""",2017 Louisville Invitational,2017-04-14,3.9,LJ,M
43,"Burns, Eric",FR-1,Loyola (Ill.),7.67m,"25' 2""",Musco Twilight,2017-04-22,3.4,LJ,M
43,"Jenkins, Lorne",SR-4,Campbell,7.67m,"25' 2""",Big South Outdoor Track & Field Championships,2017-05-10,0.6,LJ,M
46,"Newton, Scotty",JR-3,TCU,7.66m,"25' 1.75""",Jim Click Shootout,2017-04-08,0.0,LJ,M
46,"Nicholas, Kareem",SR-4,Tennessee St.,7.66m,"25' 1.75""",Weems Baskin Invitational,2017-03-24,1.3,LJ,M
46,"Filip, Scott",JR-3,Rice,7.66m,"25' 1.75""",J Fred Duckett Twilight Meet,2017-04-22,3.2,LJ,M
46,"Griffith, Isaiah",FR-1,Nebraska,7.66m,"25' 1.75""",Texas Tech Red Raider Shoot-Out,2017-04-28,2.1,LJ,M
50,"Trajkovski, Andreas",SR-4,Arkansas,7.65m,"25' 1.25""",SEC Relays,2017-04-28,1.1,LJ,M
50,"McGee, Gerald",JR-3,Purdue,7.65m,"25' 1.25""",2017 Louisville Invitational,2017-04-14,3.7,LJ,M
50,"Brave, Quemell",JR-3,Winthrop,7.65m,"25' 1.25""",Big South Outdoor Track & Field Championships,2017-05-10,1.9,LJ,M
50,"Oduho, Joseph",SR-4,Akron,7.65m,"25' 1.25""",Roadrunner Invitational,2017-03-23,1.2,LJ,M
54,"Landon, Kyle",SR-4,Southern Illinois,7.63m,"25' 0.5""",Kansas Relays,2017-04-19,3.1,LJ,M
54,"Fraga, Samory",SO-2,Kent State,7.63m,"25' 0.5""",Mid-American Outdoor Track & Field Championships,2017-05-11,0.7,LJ,M
54,"Paschall, Zay",SO-2,North Carolina,7.63m,"25' 0.5""",Virginia Grand Prix,2017-04-29,1.2,LJ,M
57,"Patrick, George",FR-1,Texas,7.62m,"25' 0""",Big 12 Outdoor Track & Field Championships,2017-05-12,2.4,LJ,M
57,"Veith, Hunter",JR-3,Wichita State,7.62m,"25' 0""",2017 MVC Outdoor Track and Field Championships,2017-05-12,3.1,LJ,M
57,"Adams, Barden",JR-3,Kansas,7.62m,"25' 0""",Big 12 Outdoor Track & Field Championships,2017-05-12,1.6,LJ,M
57,"Smith, Jason",FR-1,Long Beach St.,7.62m,"25' 0""",adidas/Steve Scott Invitational,2017-04-28,1.0,LJ,M
57,"Brown, Clayton",FR-1,Florida,7.62m,"25' 0""",Florida Relays,2017-03-30,2.8,LJ,M
62,"Lucy, Elijah",SO-2,Nebraska,7.60m,"24' 11.25""",Pac-12 vs Big-10 Invitational,2017-03-24,0.0,LJ,M
62,"Owens, Rubin",JR-3,Arkansas,7.60m,"24' 11.25""",Arkansas Twilight,2017-05-05,1.6,LJ,M
64,"Edwards, Austin",FR-1,Cincinnati,7.59m,"24' 11""",The American Outdoor Track & Field Championships,2017-05-12,2.7,LJ,M
64,"Wells, Jonathan",JR-3,Illinois,7.59m,"24' 11""",Big Ten Outdoor Championships,2017-05-12,1.3,LJ,M
64,"James, Antwon",SR-4,Iowa,7.59m,"24' 11""",Musco Twilight,2017-04-22,-0.1,LJ,M
67,"Harper, Denzel",FR-1,Kansas,7.58m,"24' 10.5""",Kansas Relays,2017-04-19,1.9,LJ,M
67,"Riley, Adrian",JR-3,UTSA,7.58m,"24' 10.5""",2017 Conference USA Outdoor Track & Field Championship,2017-05-11,4.0,LJ,M
67,"Workman, Brandon",JR-3,Arkansas,7.58m,"24' 10.5""",Baylor Invitational,2017-04-08,2.8,LJ,M
70,"Wallace, Armani",SO-2,Florida State,7.57m,"24' 10""",Stanford Cardinal Classic,2017-04-21,0.7,LJ,M
70,"Belardo, Jared",SO-2,Wichita State,7.57m,"24' 10""",2017 MVC Outdoor Track and Field Championships,2017-05-12,3.8,LJ,M
70,"Muggler, Corey",SR-4,Dartmouth,7.57m,"24' 10""",Ivy League Outdoor Track & Field Championships,2017-05-06,3.1,LJ,M
70,"Charley, Myles",SR-4,Troy,7.57m,"24' 10""",War Eagle Invititaional,2017-04-21,2.4,LJ,M
70,"Barnes, Marquis",JR-3,Samford,7.57m,"24' 10""",Southern Conference Outdoor Championships 2017,2017-05-11,1.1,LJ,M
70,"Hicks, Dennis",FR-1,Cal St. Northridge,7.57m,"24' 10""",Texas Invitational,2017-04-14,0.9,LJ,M
76,"Schulz, Cody",SR-4,Texas State,7.56m,"24' 9.75""",Texas State Bobcat Classic,2017-04-28,1.6,LJ,M
76,"Rubalcaba, Mark",SO-2,Auburn,7.56m,"24' 9.75""",War Eagle Invititaional,2017-04-21,1.0,LJ,M
76,"Bryan, Christopher",SO-2,UMKC,7.56m,"24' 9.75""",2017 Husker Spring Invitational,2017-04-08,2.5,LJ,M
76,"Battikha, Tanner",FR-1,New Mexico,7.56m,"24' 9.75""",Longhorn Invitational,2017-04-28,3.7,LJ,M
80,"Solomon, William",JR-3,Georgia Tech,7.55m,"24' 9.25""",UF Tom Jones Memorial,2017-04-28,2.0,LJ,M
80,"Becker, Carlos",FR-1,Florida State,7.55m,"24' 9.25""",UF Tom Jones Memorial,2017-04-28,2.1,LJ,M
82,"Scott, Jordan",FR-1,Virginia,7.54m,"24' 9""",Virginia Grand Prix,2017-04-29,2.0,LJ,M
83,"Brown, Jamie",SO-2,Alabama State,7.53m,"24' 8.5""",Weems Baskin Invitational,2017-03-24,1.7,LJ,M
83,"James, Laron",SO-2,Savannah State,7.53m,"24' 8.5""",MEAC Outdoor Championships,2017-05-04,3.0,LJ,M
83,"Carter, Scott",SR-4,Wyoming,7.53m,"24' 8.5""",Mountain West Outdoor Track & Field Championships,2017-05-10,3.9,LJ,M
86,"Barger, Cory",JR-3,Sacramento St.,7.52m,"24' 8.25""",Brutus Hamilton Challenge,2017-04-28,1.3,LJ,M
86,"Gaines, Deante",SR-4,Idaho State,7.52m,"24' 8.25""",Utah/Weber State Spring Classic,2017-04-07,1.8,LJ,M
88,"Hawkins, Myles",JR-3,Arizona,7.51m,"24' 7.75""",Stanford Invitational,2017-03-31,1.7,LJ,M
88,"Wilson, O'Shea",JR-3,Iowa,7.51m,"24' 7.75""",Musco Twilight,2017-04-22,3.7,LJ,M
88,"Tella, Tobi",FR-1,Rutgers,7.51m,"24' 7.75""",Mets Outdoor Track & Field Championships,2017-04-14,1.7,LJ,M
88,"Bastien, Steven",SR-4,Michigan,7.51m,"24' 7.75""",Spec Towns Invitational,2017-04-07,2.5,LJ,M
92,"Gabel, Noah",JR-3,Nebraska,7.50m,"24' 7.25""",Texas Tech Red Raider Shoot-Out,2017-04-28,3.3,LJ,M
92,"Courter, Bryant",FR-1,South Dakota St.,7.50m,"24' 7.25""",The Summit League Outdoor Track & Field Championships,2017-05-11,1.9,LJ,M
92,"Osborn, Trenton",SR-4,Eastern Washington,7.50m,"24' 7.25""",Pacific Beach Intercollegiate,2017-04-13,2.9,LJ,M
95,"Cheval, Thomas",JR-3,Oklahoma,7.49m,"24' 7""",Penn Relays,2017-04-27,3.6,LJ,M
95,"Steeves, Blake",SR-4,BYU,7.49m,"24' 7""",2017 BYU Cougar Invitational,2017-05-12,0.8,LJ,M
95,"Lopez, Erin",SO-2,Texas Tech,7.49m,"24' 7""",Texas Tech Red Raider Shoot-Out,2017-04-28,3.2,LJ,M
98,"Burley, Casey",JR-3,Rhode Island,7.48m,"24' 6.5""",UCONN Northeast Challenge,2017-04-15,3.8,LJ,M
98,"Lombardo, Nicholas",JR-3,Bucknell,7.48m,"24' 6.5""",IC4A/ECAC Outdoor Track & Field Championships,2017-05-12,0.0,LJ,M
98,"Landis, John",SR-4,Connecticut,7.48m,"24' 6.5""",UCONN Northeast Challenge,2017-04-15,2.3,LJ,M
1,"Brits, Stefan",SR-4,Florida State,8.22m,"26' 11.75""",ACC Championships,2016-05-13,1.3,LJ,M
2,"Drummond, Braxton",SR-4,Charleston Southern,8.10m,"26' 7""",Miami Hurricane Alumni Invitational,2016-04-08,1.1,LJ,M
3,"George, Aaron",JR-3,Texas State,7.99m,"26' 2.75""",Texas State Bobcat Classic,2016-04-29,2.7,LJ,M
4,"Lawson, Jarrion",SR-4,Arkansas,7.98m,"26' 2.25""",John McDonnell Invitational,2016-04-22,2.0,LJ,M
4,"Briggs, Kemonie",FR-1,Long Beach St.,7.98m,"26' 2.25""",Big West Outdoor Track & Field Championships,2016-05-13,2.4,LJ,M
6,"Bates, KeAndre",SO-2,Florida,7.95m,"26' 1""",LSU Invitational,2016-04-30,2.1,LJ,M
6,"McClain, Terrell",SO-2,Akron,7.95m,"26' 1""",Akron NE Ohio Quad,2016-04-15,1.9,LJ,M
8,"Crawford, Corey",SR-4,Rutgers,7.93m,"26' 0.25""",Big Ten Conference Outdoor Track & Field Championships,2016-05-13,3.4,LJ,M
9,"Harvey, Julian",JR-3,SIU-Edwardsville,7.91m,"25' 11.5""",Arkansas Spring Invitational,2016-03-25,2.1,LJ,M
9,"Wieland, Luca",JR-3,Minnesota,7.91m,"25' 11.5""",Virginia Challenge,2016-04-22,0.8,LJ,M
11,"Addison, Jonathan",SR-4,North Carolina St.,7.90m,"25' 11""",Florida Relays,2016-03-31,1.8,LJ,M
12,"Alexander, Willie",SR-4,Long Beach St.,7.88m,"25' 10.25""",Big West Outdoor Track & Field Championships,2016-05-13,1.9,LJ,M
12,"McRae, Trey",SR-4,Charlotte,7.88m,"25' 10.25""",2016 Nike Clyde Littlefield Texas Relays,2016-03-30,2.3,LJ,M
12,"Hamilton, Allan",SR-4,New Mexico,7.88m,"25' 10.25""",Bryan Clay Invitational,2016-04-14,1.8,LJ,M
15,"Pienaar, Roelf",JR-3,Arkansas State,7.87m,"25' 10""",Sun Belt Conference Outdoor Track & Field Championships,2016-05-13,1.1,LJ,M
15,"Dorsey, Andre",SR-4,Kennesaw State,7.87m,"25' 10""",Leon Johnson Invitational,2016-04-08,2.5,LJ,M
17,"Williams, Will",SO-2,Texas A&M,7.85m,"25' 9.25""",Baldy Castillo Invitational,2016-03-18,2.6,LJ,M
17,"Fares, Basil",SR-4,Texas,7.85m,"25' 9.25""",Longhorn Invitational,2016-05-07,3.9,LJ,M
19,"Brown, Charles",FR-1,Texas Tech,7.83m,"25' 8.25""",Texas Tech Open,2016-03-24,1.6,LJ,M
19,"Williams, Emmanuel",SR-4,Northwestern St.,7.83m,"25' 8.25""",Southland Conference Outdoor Track & Field Championships,2016-05-06,1.3,LJ,M
21,"Jackson, Adoree",SO-2,USC,7.82m,"25' 8""",Power Conference Cardinal & Gold,2016-03-25,1.9,LJ,M
21,"Parharm, Jemal",SO-2,UL-Monroe,7.82m,"25' 8""",Sun Belt Conference Outdoor Track & Field Championships,2016-05-13,0.0,LJ,M
21,"Oduho, Joseph",JR-3,Akron,7.82m,"25' 8""",Mid-American Conference Championship,2016-05-12,0.8,LJ,M
24,"Quarles, Frank",JR-3,N. Carolina A&T,7.80m,"25' 7.25""",MEAC Outdoor Track & Field Championships,2016-05-05,1.5,LJ,M
24,"Sloan, Eric",JR-3,USC,7.80m,"25' 7.25""",Pepsi Invitational,2016-04-09,1.3,LJ,M
24,"Burrell, Cameron",SO-2,Houston,7.80m,"25' 7.25""",The American Outdoor Track & Field Championships,2016-05-12,1.2,LJ,M
27,"Darrow, Kyle",JR-3,Northeastern,7.78m,"25' 6.25""",34th Annual Victor Lopez Classic,2016-03-24,1.3,LJ,M
27,"Newport, Oliver",SO-2,Louisville,7.78m,"25' 6.25""",ACC Championships,2016-05-13,1.2,LJ,M
29,"Otuonye, Ifeanyichukwu",SR-4,Kansas State,7.76m,"25' 5.5""",John McDonnell Invitational,2016-04-22,3.3,LJ,M
30,"Sears, Ventavius",JR-3,Western Kentucky,7.75m,"25' 5.25""",Conference USA Championship,2016-05-12,1.4,LJ,M
30,"Newton, Scotty",SO-2,TCU,7.75m,"25' 5.25""",Jim Click Shootout,2016-04-09,1.6,LJ,M
32,"Owens, Rubin",SO-2,Arkansas,7.74m,"25' 4.75""",John McDonnell Invitational,2016-04-22,0.4,LJ,M
33,"Belardo, Jared",FR-1,Wichita State,7.73m,"25' 4.5""",Wichita State KT Woodman Classic,2016-04-13,2.4,LJ,M
34,"Ghent, Marcus",SR-4,FIU,7.71m,"25' 3.5""",Conference USA Championship,2016-05-12,3.4,LJ,M
34,"McClam, Joshua",JR-3,N.C. Central,7.71m,"25' 3.5""",Aggie Last Chance,2016-05-15,2.8,LJ,M
36,"Fisher, Kenneth",JR-3,Bethune-Cookman,7.70m,"25' 3.25""",Aggie Last Chance,2016-05-15,2.8,LJ,M
37,"Bazile, Zack",SO-2,Ohio State,7.69m,"25' 2.75""",Power Conference Cardinal & Gold,2016-03-25,2.6,LJ,M
37,"Grant, Keniel",JR-3,Florida State,7.69m,"25' 2.75""",ACC Championships,2016-05-13,-0.3,LJ,M
37,"Veith, Hunter",SO-2,Wichita State,7.69m,"25' 2.75""",Wichita State KT Woodman Classic,2016-04-13,3.0,LJ,M
40,"Landon, Kyle",JR-3,Southern Illinois,7.68m,"25' 2.5""",Tom Botts Invitational,2016-04-15,3.5,LJ,M
41,"Williams, Aaron",SR-4,Northwestern St.,7.65m,"25' 1.25""",UT Arlington Bobby Lane Invitational,2016-03-26,-0.7,LJ,M
41,"McCarter, Steffin",FR-1,Texas,7.65m,"25' 1.25""",Big 12 Outdoor Track & Field Championships,2016-05-13,2.6,LJ,M
41,"Dorsey, Fred",SO-2,Kentucky,7.65m,"25' 1.25""",Baldy Castillo Invitational,2016-03-18,1.8,LJ,M
41,"Warren, John",SO-2,Missouri,7.65m,"25' 1.25""",Tom Botts Invitational,2016-04-15,2.1,LJ,M
45,"White, Tim",JR-3,Arizona State,7.64m,"25' 0.75""",2016 Duel in the Desert,2016-04-30,1.6,LJ,M
45,"Trajkovski, Andreas",JR-3,Arkansas,7.64m,"25' 0.75""",John McDonnell Invitational,2016-04-22,1.6,LJ,M
45,"Duckworth, Tim",SO-2,Kentucky,7.64m,"25' 0.75""",Bulldog Decathlon-Heptathlon,2016-04-06,1.9,LJ,M
45,"Glenn, Kenny",SO-2,Miami (Ohio),7.64m,"25' 0.75""",Mid-American Conference Championship,2016-05-12,2.0,LJ,M
49,"Jenner, Kurt",JR-3,Arkansas,7.63m,"25' 0.5""",John McDonnell Invitational,2016-04-22,1.9,LJ,M
50,"Hazel, Austin",JR-3,UCLA,7.62m,"25' 0""",Jim Bush Collegiate Invitational,2016-03-22,1.7,LJ,M
50,"Williams, Nicholas",SR-4,Bethune-Cookman,7.62m,"25' 0""",MEAC Outdoor Track & Field Championships,2016-05-05,1.2,LJ,M
50,"Kamara, Ishmael",JR-3,Clemson,7.62m,"25' 0""",ACC Championships,2016-05-13,0.0,LJ,M
53,"Souza, Joey",FR-1,North Carolina,7.61m,"24' 11.75""",ACC Championships,2016-05-13,0.9,LJ,M
54,"Moffett, Malik",SO-2,Penn State,7.60m,"24' 11.25""",Big Ten Conference Outdoor Track & Field Championships,2016-05-13,1.4,LJ,M
