,ATHLETE,YEAR,TEAM,MARK,CONV,MEET,MEET DATE,EVENT,GENDER
1,"Nilsen, Chris",FR-1,South Dakota,5.73m,"18' 9.5""",Sioux City Relays UCO 2017,2017-04-21,PV,M
2,"Wyatt, Audie",JR-3,Texas A&M,5.70m,"18' 8.25""",38th Sun Angel Classic,2017-04-06,PV,M
2,"Ludwig, Matthew",SO-2,Akron,5.70m,"18' 8.25""",Akron - Campbell Wright Open,2017-05-05,PV,M
2,"Laidig, Torben",JR-3,Virginia Tech,5.70m,"18' 8.25""",2017 90th Clyde Littlefield Texas Relays,2017-03-29,PV,M
5,"King, Devin",JR-3,SE Louisiana,5.60m,"18' 4.5""",South Alabama Invitational,2017-04-15,PV,M
5,"Alhizam, Hussain",SO-2,Kansas,5.60m,"18' 4.5""",38th Sun Angel Classic,2017-04-06,PV,M
5,"Albright, Jake",SR-4,Kansas,5.60m,"18' 4.5""",2017 90th Clyde Littlefield Texas Relays,2017-03-29,PV,M
8,"Valles, Adrian",JR-3,Cincinnati,5.55m,"18' 2.5""",Lenny Lyles-Clark Wood Invitational,2017-04-28,PV,M
9,"Ruiz, Antonio",SO-2,Stephen F. Austin,5.52m,"18' 1.25""",Tom Tellez Invitational,2017-05-05,PV,M
10,"McMichael, Drew",SO-2,Texas Tech,5.51m,"18' 1""",Big 12 Outdoor Track & Field Championships,2017-05-12,PV,M
10,"Richartz, Nate",JR-3,Notre Dame,5.51m,"18' 1""",2017 Louisville Invitational,2017-04-14,PV,M
12,"Starkey, Garrett",SR-4,Arizona State,5.50m,"18' 0.5""",38th Sun Angel Classic,2017-04-06,PV,M
12,"Walsh, Cole",JR-3,Oregon,5.50m,"18' 0.5""",Mt. SAC Relays,2017-04-13,PV,M
12,"Pater, Kyle",SR-4,Air Force,5.50m,"18' 0.5""",Beach Invitational,2017-04-14,PV,M
15,"Oates, Tray",JR-3,Samford,5.47m,"17' 11.25""",War Eagle Invititaional,2017-04-21,PV,M
16,"Favor, Everette",SR-4,Oklahoma,5.46m,"17' 11""",Big 12 Outdoor Track & Field Championships,2017-05-12,PV,M
17,"Collins, Sean",SO-2,South Alabama,5.43m,"17' 9.75""",Sun Belt Outdoor Track and Field Championships,2017-05-12,PV,M
18,"Herrscher, Will",SO-2,Alabama,5.42m,"17' 9.25""",SEC Relays,2017-04-28,PV,M
19,"Volz, Deakin",SO-2,Virginia Tech,5.41m,"17' 9""",Duke Invitational,2017-04-21,PV,M
19,"Poth, Barrett",JR-3,Texas,5.41m,"17' 9""",Texas Invitational,2017-04-14,PV,M
21,"Benavides, Paulo",SO-2,Kansas,5.40m,"17' 8.5""",KSU Ward Haylett Invite,2017-05-06,PV,M
22,"Meaders, Nicholas",JR-3,Texas,5.38m,"17' 7.75""",Longhorn Invitational,2017-04-28,PV,M
23,"Rowland, Matthew",SR-4,Akron,5.36m,"17' 7""",2017 90th Clyde Littlefield Texas Relays,2017-03-29,PV,M
24,"Gary, Noah",JR-3,Michigan State,5.35m,"17' 6.5""",Virginia Challenge,2017-04-21,PV,M
25,"Gilfillan, Noah",JR-3,Stephen F. Austin,5.33m,"17' 5.75""",Skechers Performance Carl Kight Invitational,2017-04-06,PV,M
26,"Johansson, Carl",JR-3,Texas A&M,5.32m,"17' 5.5""",SEC Relays,2017-04-28,PV,M
26,"Shirley, Jameson",JR-3,BYU,5.32m,"17' 5.5""",2017 BYU Robison Invitational,2017-04-27,PV,M
28,"Cahoy, Steven",SR-4,Nebraska,5.31m,"17' 5""",Big Ten Outdoor Championships,2017-05-12,PV,M
28,"Bray, Ethan",FR-1,South Dakota,5.31m,"17' 5""",The Summit League Outdoor Track & Field Championships,2017-05-11,PV,M
28,"Kiles, August",JR-3,Princeton,5.31m,"17' 5""",Ivy League Outdoor Track & Field Championships,2017-05-06,PV,M
28,"Ehrhardt, Tim",JR-3,Michigan State,5.31m,"17' 5""",2017 Louisville Invitational,2017-04-14,PV,M
28,"Johnson, Brad",SR-4,Virginia Tech,5.31m,"17' 5""",Duke Invitational,2017-04-21,PV,M
33,"Cooper, Xander",SR-4,Long Beach St.,5.30m,"17' 4.5""",Beach Invitational,2017-04-14,PV,M
33,"Maestretti, Nick",SR-4,Kansas,5.30m,"17' 4.5""",38th Sun Angel Classic,2017-04-06,PV,M
33,"Womack, Ryan",SO-2,Baylor,5.30m,"17' 4.5""",Roadrunner Invitational,2017-03-23,PV,M
36,"Hall, Connor",SR-4,Duke,5.27m,"17' 3.5""",ACC Outdoor Track & Field Championships,2017-05-12,PV,M
36,"Mulder, Joshua",SR-4,Kennesaw State,5.27m,"17' 3.5""",2017 Western Carolina Track and Field Invitational,2017-04-28,PV,M
38,"Gorski, Cole",JR-3,Ohio State,5.26m,"17' 3""",Big Ten Outdoor Championships,2017-05-12,PV,M
38,"Carr, Michael",SO-2,Arkansas State,5.26m,"17' 3""",Memphis Invitational 2017,2017-04-28,PV,M
38,"Wooten, Jacob",SO-2,Texas A&M,5.26m,"17' 3""",Michael Johnson Invitational,2017-04-22,PV,M
38,"Poirier, Dylan",SR-4,Kansas,5.26m,"17' 3""",Big 12 Outdoor Track & Field Championships,2017-05-12,PV,M
42,"Champen, Christian",FR-1,Kent State,5.25m,"17' 2.75""",Akron - Northeast Ohio Quad,2017-04-14,PV,M
43,"Weaver, Chad",SR-4,Southern Illinois,5.23m,"17' 1.75""",Gibson Invitational (OVC vs. MVC Challenge),2017-04-14,PV,M
43,"Schuck, Nathan",SR-4,Southern Illinois,5.23m,"17' 1.75""",Gibson Invitational (OVC vs. MVC Challenge),2017-04-14,PV,M
45,"Owens, Aaron",SR-4,Florida,5.22m,"17' 1.5""",UF Tom Jones Memorial,2017-04-28,PV,M
45,"Loontjer, Tyler",SO-2,Nebraska,5.22m,"17' 1.5""",John Jacobs Invitational,2017-04-21,PV,M
47,"Bares, Lee",JR-3,Army West Point,5.21m,"17' 1""",IC4A/ECAC Outdoor Track & Field Championships,2017-05-12,PV,M
47,"Clarke, Sean",FR-1,Penn,5.21m,"17' 1""",Ivy League Outdoor Track & Field Championships,2017-05-06,PV,M
47,"Bell, David",SO-2,South Florida,5.21m,"17' 1""",USF Invitational,2017-04-21,PV,M
47,"Murphree , Daven",SR-4,Stephen F. Austin,5.21m,"17' 1""",Texas Invitational,2017-04-14,PV,M
47,"Sisserson, Grant",SR-4,Cornell,5.21m,"17' 1""",Ivy League Outdoor Track & Field Championships,2017-05-06,PV,M
52,"Smith, Chase",SO-2,Washington,5.20m,"17' 0.75""",Trojan Invitational,2017-03-17,PV,M
52,"Squibbs, Brett",SR-4,East Tenn. St.,5.20m,"17' 0.75""",Weems Baskin Invitational,2017-03-24,PV,M
52,"Miceli, Joe",SR-4,Binghamton,5.20m,"17' 0.75""",2017 90th Clyde Littlefield Texas Relays,2017-03-29,PV,M
52,"Black, Blaise",SO-2,Washington,5.20m,"17' 0.75""",Pacific Beach Intercollegiate,2017-04-13,PV,M
52,"Marcus, Lev",JR-3,Washington,5.20m,"17' 0.75""",Pacific Beach Intercollegiate,2017-04-13,PV,M
52,"Haddock, Bo",SR-4,Long Beach St.,5.20m,"17' 0.75""",Beach Invitational,2017-04-14,PV,M
52,"Shugart, Zachary",FR-1,Washington,5.20m,"17' 0.75""",Beach Invitational,2017-04-14,PV,M
59,"Arnold, Hunter",SR-4,Kennesaw State,5.17m,"16' 11.5""",2017 Western Carolina Track and Field Invitational,2017-04-28,PV,M
59,"Roberson, Jay",SR-4,Sam Houston St.,5.17m,"16' 11.5""",Southland Conference Outdoor Championship,2017-05-12,PV,M
61,"Cobb, Coty",SR-4,Ohio State,5.16m,"16' 11""",2017 Jesse Owens University Classic,2017-04-21,PV,M
62,"Locke, Christian",SR-4,SE Missouri,5.15m,"16' 10.75""",OVC Outdoor Track & Field Championship,2017-05-11,PV,M
63,"Coulibaly, Rashid",FR-1,Wisconsin,5.14m,"16' 10.25""",Wisconsin Alumni Classic,2017-05-05,PV,M
63,"Waters, Carson",JR-3,Liberty,5.14m,"16' 10.25""",2017 Liberty Twilight,2017-05-03,PV,M
63,"Guthrie, Tim",JR-3,Wisconsin,5.14m,"16' 10.25""",Big Ten Outdoor Championships,2017-05-12,PV,M
66,"Eckles, Matthew",SO-2,Arizona State,5.13m,"16' 10""",Duel In The Desert- ASU vs Arizona,2017-04-28,PV,M
66,"Jernigan, Jefferey",JR-3,Virginia,5.13m,"16' 10""",Virginia Challenge,2017-04-21,PV,M
68,"Thenard, Paul",SR-4,Long Beach St.,5.12m,"16' 9.5""",2017 Big West Track & Field Championships,2017-05-12,PV,M
68,"Van Der Watt , Lukas",FR-1,UMKC,5.12m,"16' 9.5""",Rock Chalk Classic,2017-04-28,PV,M
70,"Howe, Keon",SO-2,Charlotte,5.11m,"16' 9.25""",East Carolina University Bill Carson Invitational,2017-04-07,PV,M
70,"Fay, Matthew",SO-2,Bucknell,5.11m,"16' 9.25""",Bucknell Team Challenge,2017-04-22,PV,M
70,"Simon, Ed",SR-4,Vermont,5.11m,"16' 9.25""",IC4A/ECAC Outdoor Track & Field Championships,2017-05-12,PV,M
70,"Harold, Glen",JR-3,Minnesota,5.11m,"16' 9.25""",Ashton May Invitational,2017-04-08,PV,M
70,"Laut, Austin",SO-2,Yale,5.11m,"16' 9.25""",Ivy League Outdoor Track & Field Championships,2017-05-06,PV,M
70,"Gonzalez, Michael",FR-1,USC,5.11m,"16' 9.25""",USC vs. UCLA,2017-04-29,PV,M
70,"Cole, Elijah",FR-1,Charlotte,5.11m,"16' 9.25""",2017 Conference USA Outdoor Track & Field Championship,2017-05-11,PV,M
70,"Supple, Zack",SR-4,Kansas State,5.11m,"16' 9.25""",Big 12 Outdoor Track & Field Championships,2017-05-12,PV,M
70,"O'Brien, Robert",SO-2,Columbia,5.11m,"16' 9.25""",Ivy League Outdoor Track & Field Championships,2017-05-06,PV,M
70,"Brock, Barrett",SR-4,UTSA,5.11m,"16' 9.25""",2017 Conference USA Outdoor Track & Field Championship,2017-05-11,PV,M
70,"Gonzalez, Greyson",SO-2,Baylor,5.11m,"16' 9.25""",Big 12 Outdoor Track & Field Championships,2017-05-12,PV,M
70,"Tappe, Tyler",JR-3,Minnesota,5.11m,"16' 9.25""",Ashton May Invitational,2017-04-08,PV,M
82,"Slater, Tristan",FR-1,Tennessee,5.10m,"16' 8.75""",Tennessee Relays,2017-04-06,PV,M
82,"Gaylord, Ben",SR-4,Princeton,5.10m,"16' 8.75""",2017 Sam Howell Invitational,2017-04-08,PV,M
82,"Cosculluela, Max",SR-4,Dartmouth,5.10m,"16' 8.75""",2017 Sam Howell Invitational,2017-04-08,PV,M
82,"Fagan, Peter",SR-4,Binghamton,5.10m,"16' 8.75""",2017 Sam Howell Invitational,2017-04-08,PV,M
82,"Giliomee, Niel",JR-3,South Alabama,5.10m,"16' 8.75""",University of Mobile Invitational,2017-04-07,PV,M
82,"Fox, Eric",JR-3,Louisville,5.10m,"16' 8.75""",2017 90th Clyde Littlefield Texas Relays,2017-03-29,PV,M
82,"Bugner, Hayden",SO-2,Wichita State,5.10m,"16' 8.75""",Texas Tech Red Raider Shoot-Out,2017-04-28,PV,M
89,"Young, Sam",FR-1,Virginia,5.09m,"16' 8.25""",Virginia Grand Prix,2017-04-29,PV,M
90,"Wilkes, Ryan",SO-2,Rhode Island,5.08m,"16' 8""",NEICAAA Outdoor Track & Field Championships,2017-05-12,PV,M
90,"Honka, Ondrej",JR-3,Rhode Island,5.08m,"16' 8""",NEICAAA Outdoor Track & Field Championships,2017-05-12,PV,M
92,"Summers, Ashton",SO-2,Sam Houston St.,5.07m,"16' 7.5""",LSU Alumni Gold,2017-04-22,PV,M
92,"Henderson, Bailey",FR-1,Sam Houston St.,5.07m,"16' 7.5""",LSU Alumni Gold,2017-04-22,PV,M
92,"Duckworth, Tim",JR-3,Kentucky,5.07m,"16' 7.5""",Florida Relays,2017-03-30,PV,M
92,"Angle, Barclay",SR-4,Ole Miss,5.07m,"16' 7.5""",SEC Relays,2017-04-28,PV,M
92,"Woodley, Armand",SO-2,South Carolina,5.07m,"16' 7.5""",SEC Outdoor Track & Field Championships,2017-05-11,PV,M
92,"Jatis, Andy",SO-2,Iowa,5.07m,"16' 7.5""",Big Ten Outdoor Championships,2017-05-12,PV,M
98,"Rosa, Brenton",SO-2,Kennesaw State,5.06m,"16' 7.25""",ASUN Outdoor Track & Field Championships,2017-05-12,PV,M
98,"Wagner, Sam",JR-3,Central Michigan,5.06m,"16' 7.25""",Toledo Invitational,2017-05-04,PV,M
98,"Francome, Reagan",SO-2,South Dakota St.,5.06m,"16' 7.25""",USD SDSU Dual,2017-04-08,PV,M
1,"King, Devin",SO-2,SE Louisiana,5.70m,"18' 8.25""",2016 Nike Clyde Littlefield Texas Relays,2016-03-30,PV,M
2,"Wyatt, Audie",SO-2,Texas A&M,5.65m,"18' 6.5""",2016 Nike Clyde Littlefield Texas Relays,2016-03-30,PV,M
2,"Wolfle, Chase",SR-4,Texas A&M,5.65m,"18' 6.5""",Michael Johnson Classic,2016-04-23,PV,M
2,"Blankenship, Jake",SR-4,Tennessee,5.65m,"18' 6.5""",SEC Championships,2016-05-12,PV,M
5,"Laidig, Torben",SO-2,Virginia Tech,5.60m,"18' 4.5""",2016 Nike Clyde Littlefield Texas Relays,2016-03-30,PV,M
6,"Bell, Dylan",SR-4,Air Force,5.55m,"18' 2.5""",Michael Johnson Classic,2016-04-23,PV,M
7,"Bragg, Adam",SR-4,Princeton,5.53m,"18' 1.75""",Ivy League Outdoor Track & Field Championships,2016-05-07,PV,M
8,"Collins, Sean",FR-1,South Alabama,5.51m,"18' 1""",Sun Belt Conference Outdoor Track & Field Championships,2016-05-13,PV,M
9,"Meyer, Nick",JR-3,Kansas,5.50m,"18' 0.5""",2016 Ward Haylett Invitational,2016-05-07,PV,M
9,"Albright, Jake",JR-3,Kansas,5.50m,"18' 0.5""",Big 12 Outdoor Track & Field Championships,2016-05-13,PV,M
9,"Oates, Tray",SO-2,Samford,5.50m,"18' 0.5""",2016 Southern Conference Outdoor T&F Championships,2016-05-12,PV,M
12,"Uhle, Chris",SR-4,Virginia Tech,5.47m,"17' 11.25""",Hokie Twilight,2016-05-05,PV,M
13,"Ludwig, Matthew",FR-1,Missouri,5.46m,"17' 11""",Memphis Tiger Invitational,2016-04-29,PV,M
14,"Valles, Adrian",SO-2,Cincinnati,5.45m,"17' 10.5""",2016 Kentucky Relays (College),2016-05-07,PV,M
15,"Volz, Deakin",FR-1,Virginia Tech,5.41m,"17' 9""",Duke Invitational,2016-04-22,PV,M
15,"Walsh, Cole",SO-2,Oregon,5.41m,"17' 9""",Oregon Relays,2016-04-15,PV,M
17,"Thoirs, Jax",SR-4,Washington,5.40m,"17' 8.5""",Pac-12 Outdoor Track & Field Championships,2016-05-14,PV,M
17,"Pater, Kyle",JR-3,Air Force,5.40m,"17' 8.5""",Mountain West Championships,2016-05-11,PV,M
19,"Meyer, Cameron",SR-4,Stephen F. Austin,5.37m,"17' 7.25""",34th Annual Victor Lopez Classic,2016-03-24,PV,M
20,"Scott, Blake",FR-1,Texas,5.36m,"17' 7""",Longhorn Invitational,2016-05-07,PV,M
20,"O'Connell, Derek",SR-4,William and Mary,5.36m,"17' 7""",IC4A/ECAC Outdoor Track and Field Championships,2016-05-13,PV,M
20,"McNeil, Parks",SO-2,Texas,5.36m,"17' 7""",Longhorn Invitational,2016-05-07,PV,M
23,"Larson, Garrett",JR-3,Sam Houston St.,5.35m,"17' 6.5""",Mt. SAC Relays,2016-04-14,PV,M
23,"Bray, Brandon",FR-1,Texas Tech,5.35m,"17' 6.5""",Big 12 Outdoor Track & Field Championships,2016-05-13,PV,M
23,"Hunter, Craig",JR-3,Connecticut,5.35m,"17' 6.5""",The American Outdoor Track & Field Championships,2016-05-12,PV,M
23,"Watson, Reese",SR-4,Texas,5.35m,"17' 6.5""",Big 12 Outdoor Track & Field Championships,2016-05-13,PV,M
23,"Poth, Barrett",FR-1,Texas,5.35m,"17' 6.5""",Big 12 Outdoor Track & Field Championships,2016-05-13,PV,M
23,"Maestretti, Nick",SO-2,Kansas,5.35m,"17' 6.5""",Big 12 Outdoor Track & Field Championships,2016-05-13,PV,M
29,"Montgomery, Michael",SR-4,Long Beach St.,5.33m,"17' 5.75""",Beach Pacific Coast,2016-04-14,PV,M
29,"Rouse, Conner",SR-4,Long Beach St.,5.33m,"17' 5.75""",Beach Pacific Coast,2016-04-14,PV,M
31,"David, Jake",SO-2,South Dakota,5.32m,"17' 5.5""",Howard Wood Dakota Relays,2016-05-07,PV,M
32,"Baudoin, Kyle",FR-1,UL-Lafayette,5.31m,"17' 5""",2016 Nike Clyde Littlefield Texas Relays,2016-03-30,PV,M
32,"Johnson, Brad",JR-3,Virginia Tech,5.31m,"17' 5""",2016 Nike Clyde Littlefield Texas Relays,2016-03-30,PV,M
34,"Rowland, Matthew",JR-3,Akron,5.30m,"17' 4.5""",Mid-American Conference Championship,2016-05-12,PV,M
34,"Duvio, Dylan",JR-3,Stanford,5.30m,"17' 4.5""",Pac-12 Outdoor Track & Field Championships,2016-05-14,PV,M
34,"Tonnesen, Pau",SR-4,Arizona,5.30m,"17' 4.5""",Pac-12 Outdoor Track & Field Championships,2016-05-14,PV,M
37,"Wooten, Jacob",FR-1,Texas A&M,5.26m,"17' 3""",LSU Invitational,2016-04-30,PV,M
37,"Curley, Connor",SR-4,Indiana State,5.26m,"17' 3""",Pacesetter Sports Invitational,2016-04-23,PV,M
37,"Ziemek, Zach",SR-4,Wisconsin,5.26m,"17' 3""",Big Ten Conference Outdoor Track & Field Championships,2016-05-13,PV,M
37,"Alhizam, Hussain",FR-1,Kansas,5.26m,"17' 3""",Kansas Relays,2016-04-20,PV,M
37,"Lupton, Greg",SR-4,Kansas,5.26m,"17' 3""",Kansas Relays,2016-04-20,PV,M
42,"Oxley, Jesse",SR-4,Kent State,5.25m,"17' 2.75""",Akron - Cambell/Wright Open,2016-05-06,PV,M
42,"Johansson, Carl",SO-2,Texas A&M,5.25m,"17' 2.75""",Michael Johnson Classic,2016-04-23,PV,M
42,"Miller, Austin",SR-4,High Point,5.25m,"17' 2.75""",Big South Outdoor Track & Field Championships,2016-05-10,PV,M
42,"Uibo, Maicel",SR-4,Georgia,5.25m,"17' 2.75""",Bulldog Decathlon-Heptathlon,2016-04-06,PV,M
46,"Murphree , Daven",JR-3,Stephen F. Austin,5.23m,"17' 1.75""",SHSU Last Chance,2016-05-14,PV,M
47,"Cahoy, Steven",JR-3,Nebraska,5.22m,"17' 1.5""",2016 Nebraska Invitational,2016-05-07,PV,M
47,"Chapman, Peter",SR-4,South Dakota,5.22m,"17' 1.5""",USD Twilight,2016-04-19,PV,M
47,"Giliomee, Niel",SO-2,South Alabama,5.22m,"17' 1.5""",South Alabama Invitational,2016-04-14,PV,M
50,"Driver, Craig",SR-4,Nebraska,5.21m,"17' 1""",Texas Invitational,2016-04-16,PV,M
50,"Williams, Tanner",JR-3,Oklahoma,5.21m,"17' 1""",2016 Nike Clyde Littlefield Texas Relays,2016-03-30,PV,M
50,"Meaders, Nicholas",FR-1,Texas,5.21m,"17' 1""",Longhorn Invitational,2016-05-07,PV,M
50,"Dial, Tommy",FR-1,Oral Roberts,5.21m,"17' 1""",Summit League Outdoor T&F Championships,2016-05-12,PV,M
50,"Wallenfang, Jake",JR-3,Wisconsin,5.21m,"17' 1""",Big Ten Conference Outdoor Track & Field Championships,2016-05-13,PV,M
50,"Gary, Noah",SO-2,Michigan State,5.21m,"17' 1""",2016 Louisville Invitational,2016-04-15,PV,M
50,"Porter, Tyler",SR-4,Tennessee,5.21m,"17' 1""",SEC Championships,2016-05-12,PV,M
57,"Bares, Lee",SO-2,Army West Point,5.20m,"17' 0.75""",Penn Challenge,2016-03-26,PV,M
57,"Kiles, August",SO-2,Princeton,5.20m,"17' 0.75""",USF Bulls Invitational,2016-03-17,PV,M
57,"Herrscher, Will",FR-1,Alabama,5.20m,"17' 0.75""",Alabama Relays,2016-03-17,PV,M
57,"Schuck, Nathan",JR-3,Southern Illinois,5.20m,"17' 0.75""",Alabama Relays,2016-03-17,PV,M
57,"Benavides, Paulo",FR-1,Kansas,5.20m,"17' 0.75""",37th Annual Sun Angel Classic,2016-04-08,PV,M
57,"Walsh, Jon",SR-4,Southern Illinois,5.20m,"17' 0.75""",2016 MVC Outdoor Track and Field Championships,2016-05-13,PV,M
57,"Miceli, Joe",JR-3,Binghamton,5.20m,"17' 0.75""",Princeton Outdoor Invite,2016-04-15,PV,M
57,"Bell, Sam",FR-1,Arkansas State,5.20m,"17' 0.75""",2016 Nike Clyde Littlefield Texas Relays,2016-03-30,PV,M
57,"Sodorff, Austin",SR-4,Washington St.,5.20m,"17' 0.75""",Mt. SAC Relays,2016-04-14,PV,M
57,"Still, Larry",FR-1,Eastern Washington,5.20m,"17' 0.75""",Big Sky Outdoor Track & Field Championships,2016-05-11,PV,M
57,"Arnold, Seth",SR-4,Texas State,5.20m,"17' 0.75""",Ricardo Romo Invitational,2016-03-24,PV,M
57,"Williams, Chris",SR-4,Washington,5.20m,"17' 0.75""",Mt. SAC Relays,2016-04-14,PV,M
57,"Sullivan, Matt",SR-4,Idaho,5.20m,"17' 0.75""",Big Sky Outdoor Track & Field Championships,2016-05-11,PV,M
57,"Heitt, Nathan",JR-3,Arizona State,5.20m,"17' 0.75""",37th Annual Sun Angel Classic,2016-04-08,PV,M
57,"Cooper, Xander",JR-3,Long Beach St.,5.20m,"17' 0.75""",Big West Outdoor Track & Field Championships,2016-05-13,PV,M
57,"Atkinson, Shane",SO-2,Fresno State,5.20m,"17' 0.75""",2016 Woody Wilson Classic (Collegiate),2016-04-16,PV,M
73,"Smith, Chase",FR-1,Washington,5.19m,"17' 0.25""",Ken Shannon Invitational,2016-04-30,PV,M
73,"Starkey, Garrett",JR-3,Stanford,5.19m,"17' 0.25""",Payton Jordan Invitational,2016-05-01,PV,M
75,"Simmons, Beau",SR-4,Nebraska,5.18m,"17' 0""",2016 Husker Spring Invitational,2016-04-09,PV,M
75,"Estala, Justin",JR-3,Oral Roberts,5.18m,"17' 0""",Oklahoma John Jacobs Invitational,2016-04-22,PV,M
75,"Peters, Chris",SR-4,Wichita State,5.18m,"17' 0""",Oklahoma John Jacobs Invitational,2016-04-22,PV,M
78,"Hidalgo, Matt",SR-4,Oregon,5.17m,"16' 11.5""",Oregon Twilight,2016-05-06,PV,M
79,"Steck, James",SO-2,Virginia Tech,5.16m,"16' 11""",Radford University Highlander Invitational,2016-04-29,PV,M
80,"Waters, Carson",SO-2,Liberty,5.15m,"16' 10.75""",Big South Outdoor Track & Field Championships,2016-05-10,PV,M
80,"Honka, Ondrej",SO-2,Rhode Island,5.15m,"16' 10.75""",Florida Relays,2016-03-31,PV,M
80,"Vegas, Austin",SR-4,North Carolina,5.15m,"16' 10.75""",Battle of the Blues,2016-04-01,PV,M
80,"Gilfillan, Noah",SO-2,Stephen F. Austin,5.15m,"16' 10.75""",2016 Skechers Carl Kight Invitational,2016-04-08,PV,M
80,"Curry, Parker",SO-2,UC Santa Barbara,5.15m,"16' 10.75""",2016 Oxy Invitational (College/University),2016-05-07,PV,M
85,"Gordon, Eric",SR-4,Eastern Illinois,5.13m,"16' 10""",EIU Panther Twilight,2016-05-06,PV,M
85,"Cosculluela, Max",JR-3,Dartmouth,5.13m,"16' 10""",Tufts Snowflake Classic,2016-04-02,PV,M
87,"Maness, Jiles",SR-4,Navy,5.11m,"16' 9.25""",San Diego Collegiate Challenge,2016-03-12,PV,M
87,"Gyllensten, Simon",SO-2,South Carolina,5.11m,"16' 9.25""",Spec Towns Invitational 2016,2016-04-08,PV,M
87,"Fenske, Jed",JR-3,Nebraska,5.11m,"16' 9.25""",Kansas Relays,2016-04-20,PV,M
87,"Supple, Zack",JR-3,Kansas State,5.11m,"16' 9.25""",Bruin Legends of T&F Invitational,2016-04-02,PV,M
87,"Scale, Reed",JR-3,UCLA,5.11m,"16' 9.25""",Bruin Legends of T&F Invitational,2016-04-02,PV,M
87,"Anderson, Dylan",SR-4,Indiana,5.11m,"16' 9.25""",2016 Louisville Invitational,2016-04-15,PV,M
87,"Thomas, Phillip",JR-3,Appalachian State,5.11m,"16' 9.25""",Sun Belt Conference Outdoor Track & Field Championships,2016-05-13,PV,M
87,"Laut, Austin",FR-1,Yale,5.11m,"16' 9.25""",IC4A/ECAC Outdoor Track and Field Championships,2016-05-13,PV,M
87,"Cobb, Coty",FR-1,Ohio State,5.11m,"16' 9.25""",Ashland Alumni Open,2016-04-29,PV,M
87,"Squibbs, Brett",JR-3,East Tenn. St.,5.11m,"16' 9.25""",2016 Southern Conference Outdoor T&F Championships,2016-05-12,PV,M
97,"Akins, David",SO-2,South Florida,5.10m,"16' 8.75""",USF Invitational,2016-03-11,PV,M
97,"Duckworth, Tim",SO-2,Kentucky,5.10m,"16' 8.75""",Virginia Challenge,2016-04-22,PV,M
97,"Wacker, Steven",JR-3,Idaho State,5.10m,"16' 8.75""",Utah Spring Classic,2016-04-08,PV,M
97,"Robinson, Colt",SR-4,Cincinnati,5.10m,"16' 8.75""",Miami Hurricane Twilight Invitational,2016-03-25,PV,M
